path,current_classification,detected_owner_lane,reference_summary,recommended_action,target_path,quarantine_candidate,manual_review_required,delete_risk,notes
output/latest/breakout_latest.csv,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: stock_daily_monitor.py writes this latest alias. Workflow consumer: .github/workflows/signal_performance_tracker.yml reads this alias. Docs/tests/validators: no direct active consumer beyond prior audit docs.",keep,same root latest alias,false,false,high,Machine-readable daily monitor latest alias with workflow dependency; no move/delete in this PR.
output/latest/chip_flow_positive_streak_latest.csv,unknown,unknown,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Scripts/workflows/docs/validators: no active root-path consumer found. Tests and lifecycle validator explicitly guard against the removed positive-streak surface script returning.",quarantine_candidate,quarantine plan only; target requires future quarantine manifest,true,true,low,No physical move in this PR; paired with the MD status artifact and appears to be a stale removed-surface artifact.
output/latest/chip_flow_positive_streak_latest.md,unknown,unknown,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Scripts/workflows/docs/validators: no active root-path consumer found. File content reports disabled_missing_required_data with May 2026 date.",quarantine_candidate,quarantine plan only; target requires future quarantine manifest,true,true,low,No physical move in this PR; stale diagnostic/status companion for removed positive-streak surface.
output/latest/daily_pattern_watch_latest.csv,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: stock_daily_monitor.py writes this latest alias. Workflows/docs/tests/validators: no direct active consumer beyond prior audit docs.",keep,same root latest alias,false,false,medium,Daily monitor machine-readable latest alias; keep until daily monitor output contract is separately redesigned.
output/latest/institutional_investor_flow_latest.csv,unknown,unknown,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. No active root-path consumer found. Related workflow evidence only commits data/institutional_investor_flow/ directory, not this root latest alias.",needs_manual_review,TBD after market-data/chip-flow owner review,false,true,medium,Content is institutional net-lot data from 20260522; no move/delete without identifying current data-source owner.
output/latest/official_daily_price_latest.csv,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer/consumer evidence: stock_daily_monitor.py writes and reads this latest price alias. output/latest/official_price_fetch_latest.md, output/latest/official_price_fetch_latest.json, and output/latest/stock_monitor_latest.md reference it.",keep,same root latest alias,false,false,high,Official price latest alias is a source/freshness dependency; retain root machine-readable alias.
output/latest/official_price_fetch_latest.md,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: stock_daily_monitor.py writes this fetch status report next to official price JSON/CSV. Active external consumers: no direct root-path consumer found.",keep,same root latest alias,false,false,medium,Status/evidence companion for official price latest; keep with official price bundle until source-status contract changes.
output/latest/pullback_rebound_latest.csv,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: stock_daily_monitor.py writes this latest alias. Workflow consumer: .github/workflows/signal_performance_tracker.yml reads this alias. Docs/tests/validators: no direct active consumer beyond prior audit docs.",keep,same root latest alias,false,false,high,Machine-readable signal-performance dependency; no move/delete in this PR.
output/latest/range_rebound_watch_latest.csv,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: stock_daily_monitor.py writes this latest alias. Workflows/docs/tests/validators: no direct active consumer beyond prior audit docs.",keep,same root latest alias,false,false,medium,Daily monitor machine-readable latest alias; keep until daily monitor output contract is separately redesigned.
output/latest/reorganize_output_files_latest.md,unknown,unknown,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. No active root-path producer or consumer found. File content is an old output cleanup report that points at legacy mixed-root artifacts.",quarantine_candidate,quarantine plan only; target requires future quarantine manifest,true,true,low,No physical move in this PR; cleanup report is not a production contract.
