source_path,current_bucket,planned_target_path,root_compatibility_alias,decision,reason
output/latest/tdcc_chatgpt_tracking_packet_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_chatgpt_tracking_packet_latest.md,retain,compatibility_alias_required,TDCC workflow tracking packet and docs/raw links still use the root latest path
output/latest/tdcc_chatgpt_tracking_validation_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_chatgpt_tracking_validation_latest.md,retain,compatibility_alias_required,TDCC workflow and tracking validator still use the root latest path
output/latest/tdcc_consecutive_accumulation_ranking_latest.csv,tdcc_weekly_ranking,output/latest/tdcc_weekly/rankings/tdcc_consecutive_accumulation_ranking_latest.csv,retain,compatibility_alias_required,weekly report builder validator workflow and packet raw links still use the root latest path
output/latest/tdcc_consecutive_accumulation_ranking_latest.md,tdcc_weekly_ranking,output/latest/tdcc_weekly/rankings/tdcc_consecutive_accumulation_ranking_latest.md,retain,compatibility_alias_required,weekly report builder validator workflow and packet raw links still use the root latest path
output/latest/tdcc_history_backfill_manifest_latest.csv,tdcc_weekly_history,output/latest/tdcc_weekly/history/tdcc_history_backfill_manifest_latest.csv,retain,compatibility_alias_required,TDCC history/backfill docs still reference the root latest path
output/latest/tdcc_history_backfill_manifest_latest.md,tdcc_weekly_history,output/latest/tdcc_weekly/history/tdcc_history_backfill_manifest_latest.md,retain,compatibility_alias_required,TDCC workflow and history/backfill docs still reference the root latest path
output/latest/tdcc_holder_ratio_latest.csv,tdcc_weekly_holder_flow,output/latest/tdcc_weekly/holder_flow/tdcc_holder_ratio_latest.csv,retain,compatibility_alias_required,TDCC holder-flow and daily model consumers still read the root latest path
output/latest/tdcc_overheated_short_term_edge_candidates_latest.csv,cross_lane_tdcc_research,output/latest/tdcc_weekly/research_support/tdcc_overheated_short_term_edge_candidates_latest.csv,retain,defer_cross_lane_consumer_split,research_backtest and daily indicator consumers still use the root latest path
output/latest/tdcc_overheated_short_term_edge_latest.csv,cross_lane_tdcc_research,output/latest/tdcc_weekly/research_support/tdcc_overheated_short_term_edge_latest.csv,retain,defer_cross_lane_consumer_split,research_backtest and daily indicator consumers still use the root latest path
output/latest/tdcc_overheated_short_term_edge_latest.md,cross_lane_tdcc_research,output/latest/tdcc_weekly/research_support/tdcc_overheated_short_term_edge_latest.md,retain,defer_cross_lane_consumer_split,research_backtest and daily indicator consumers still use the root latest path
output/latest/tdcc_phase_distribution_latest.csv,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_phase_distribution_latest.csv,retain,compatibility_alias_required,TDCC tracking packet validator and workflow still use the root latest path
output/latest/tdcc_phase_distribution_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_phase_distribution_latest.md,retain,compatibility_alias_required,TDCC tracking packet validator and workflow still use the root latest path
output/latest/tdcc_pre_move_abm_top_latest.csv,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_pre_move_abm_top_latest.csv,retain,compatibility_alias_required,TDCC tracking packet validator and workflow still use the root latest path
output/latest/tdcc_pre_move_abm_top_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_pre_move_abm_top_latest.md,retain,compatibility_alias_required,TDCC tracking packet validator and workflow still use the root latest path
output/latest/tdcc_pre_move_accumulation_latest.csv,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_pre_move_accumulation_latest.csv,retain,compatibility_alias_required,TDCC pre-move docs and build scripts still use the root latest path
output/latest/tdcc_pre_move_accumulation_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_pre_move_accumulation_latest.md,retain,compatibility_alias_required,TDCC workflow and docs/latest still use the root latest path
