generated_at,model_id,model_name_zh,research_artifact_id,source_artifact_id,decision_axis,decision_item_id,feature_family,condition_role,condition_rule,test_status,data_status,fixed_operation_module_candidate_id,buy_point_rule,target_rule,stop_rule,exit_rule,win_definition,neutral_definition,failure_definition,selected_stock_days,selected_unique_stocks,mature_count,selected_share_of_baseline_pct,mature_share_of_baseline_pct,win_rate_pct,neutral_rate_pct,failure_rate_pct,same_day_unresolved_rate_pct,avg_realized_return_pct,avg_d20_close_return_pct,avg_realized_or_d20_days,delta_vs_baseline_win_rate_pct,delta_vs_baseline_failure_rate_pct,delta_vs_baseline_avg_realized_return_pct,delta_vs_baseline_avg_realized_or_d20_days,decision_status,plain_conclusion_zh,advisory_status,approved_for_daily,production_change,daily_row_parity_status_summary,daily_row_parity_exact_pass_count,daily_row_parity_blocked_count,daily_row_parity_blocker_summary,promotion_blocker
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_operation_module_research,baseline_operation,baseline:production_replay_operation_anchor,baseline,comparison_anchor,current production proxy replay; no extra entry or feature filter,tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date. Entry filter: no extra candle/volume confirmation beyond production proxy replay,Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",304517,1976,266876,100.0,100.0,41.46,12.86,45.69,0.0,0.38,1.62,12.46,0.0,0.0,0.0,0.0,baseline_anchor,作為比較基準；不是正式買賣模組，仍需 promotion PR 才能升格。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_operation_module_research,entry_filter,entry_filter:volume_red_k_vol1.2,entry_filter,possible_buy_gate_or_score_bonus,bullish red K with volume_ratio_prev20 >= 1.2,tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date. Entry filter: bullish red K with volume_ratio_prev20 >= 1.2,Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",30879,1961,26606,10.14,9.97,59.72,7.24,33.04,0.0,-0.05,1.22,9.6,18.26,-12.65,-0.43,-2.86,score_bonus_candidate_winrate_tradeoff,勝率與失敗率改善，但平均實現報酬低於 baseline；較適合討論加分，不適合直接當硬 gate。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_operation_module_research,entry_filter,entry_filter:solid_volume_red_k_vol1.2,entry_filter,possible_buy_gate_or_score_bonus,solid red K with volume_ratio_prev20 >= 1.2,tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date. Entry filter: solid red K with volume_ratio_prev20 >= 1.2,Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",16206,1931,13986,5.32,5.24,61.08,7.49,31.42,0.0,-0.11,1.1,9.38,19.62,-14.27,-0.49,-3.08,score_bonus_candidate_winrate_tradeoff,勝率與失敗率改善，但平均實現報酬低於 baseline；較適合討論加分，不適合直接當硬 gate。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_operation_module_research,entry_filter,entry_filter:solid_volume_red_k_vol1.5,entry_filter,possible_buy_gate_or_score_bonus,solid red K with volume_ratio_prev20 >= 1.5,tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date. Entry filter: solid red K with volume_ratio_prev20 >= 1.5,Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",10435,1877,8933,3.43,3.35,63.42,6.72,29.87,0.0,-0.25,0.95,8.83,21.96,-15.82,-0.63,-3.63,score_bonus_candidate_winrate_tradeoff,勝率與失敗率改善，但平均實現報酬低於 baseline；較適合討論加分，不適合直接當硬 gate。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_operation_module_research,entry_filter,entry_filter:prior_ext20_ema10_runup20_pullback5,entry_filter,possible_buy_gate_or_score_bonus,"prior 20d high was >=10% above 23EMA, prior 20d range runup >=20%, and signal close is at least 5% below that high",tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,"Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date. Entry filter: prior 20d high was >=10% above 23EMA, prior 20d range runup >=20%, and signal close is at least 5% below that high",Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",60754,1571,50314,19.95,18.85,29.03,14.68,56.29,0.0,1.09,3.84,12.37,-12.43,10.6,0.71,-0.09,reject_as_required_gate,相對 baseline 勝率下降且失敗率上升，不適合升成必要條件。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_operation_module_research,entry_filter,entry_filter:prior_ext30_ema12_runup25_pullback8,entry_filter,possible_buy_gate_or_score_bonus,"prior 30d high was >=12% above 23EMA, prior 30d range runup >=25%, and signal close is at least 8% below that high",tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,"Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date. Entry filter: prior 30d high was >=12% above 23EMA, prior 30d range runup >=25%, and signal close is at least 8% below that high",Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",66466,1709,56438,21.83,21.15,30.54,13.61,55.85,0.0,0.86,3.13,12.16,-10.92,10.16,0.48,-0.3,reject_as_required_gate,相對 baseline 勝率下降且失敗率上升，不適合升成必要條件。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_operation_module_research,entry_filter,entry_filter:prior_ext60_ema15_runup35_pullback10,entry_filter,possible_buy_gate_or_score_bonus,"prior 60d high was >=15% above 23EMA, prior 60d range runup >=35%, and signal close is at least 10% below that high",tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,"Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date. Entry filter: prior 60d high was >=15% above 23EMA, prior 60d range runup >=35%, and signal close is at least 10% below that high",Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",92813,1696,82590,30.48,30.95,35.77,13.15,51.08,0.0,0.71,2.56,12.14,-5.69,5.39,0.33,-0.32,reject_as_required_gate,相對 baseline 勝率下降且失敗率上升，不適合升成必要條件。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_feature_confirmation_research,feature_filter,feature_filter:prior_ext20_ema10_runup20_pullback5,prior_extension,possible_required_gate_or_score_bonus,"prior 20d high was >=10% above 23EMA, prior 20d range runup >=20%, signal close at least 5% below that high",tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date.,Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",60754,1571,50314,19.95,18.85,29.03,14.68,56.29,0.0,1.09,3.84,12.37,-12.43,10.6,0.71,-0.09,reject_as_required_gate,相對 baseline 勝率下降且失敗率上升，不適合升成必要條件。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_feature_confirmation_research,feature_filter,feature_filter:macd_hist_gt0,technical,possible_required_gate_or_score_bonus,MACD histogram above zero on signal date,tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date.,Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",128833,1959,115126,42.31,43.14,53.93,8.38,37.68,0.0,0.22,1.55,11.44,12.47,-8.01,-0.16,-1.02,score_bonus_candidate_winrate_tradeoff,勝率與失敗率改善，但平均實現報酬低於 baseline；較適合討論加分，不適合直接當硬 gate。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
2026-07-05 00:49:30 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_model_decision_audit,price_pullback_23ema_feature_confirmation_research,feature_filter,feature_filter:kd_bullish_not_overheated,technical,possible_required_gate_or_score_bonus,KD bullish but not overheated on signal date,tested_point_in_time,available_point_in_time_research_frame,next_open_prev20_high_breakout_lower_ma20_ema23_stop4pct_4d_d20_close_exit,Buy next open only when the price_pullback_23ema signal and the entry filter both hold on signal date.,Win if first intraday high breaks above signal-day previous 20-day high before stop through D+20.,Failure stop when close stays at least 4% below the lower of current 20MA and 23EMA for 4 consecutive trading days.,"If no previous 20-day high breakout or sustained reference stop appears by D+20, exit at D+20 close.",target hit before stop,no target/stop by D+20 and D+20 close return >= 0%,"stop hit before target, or no target/stop by D+20 and D+20 close return < 0%",131263,1974,116762,43.11,43.75,45.19,11.72,43.09,0.0,0.11,1.28,12.23,3.73,-2.6,-0.27,-0.23,mixed_discussion_candidate,有部分指標優於 baseline，但改善不夠完整，適合進入討論而非直接升格。,not_production_ready_research_only,False,none,exact_daily_row_parity_pass:13,13,0,,"requires explicit model promotion PR with exact research parity, contract update, validators, and post-merge validation"
