generated_at,data_family_id,scope,owner_lane,cleanup_status,retention_policy,artifact_path,artifact_match_count,producer,producer_exists,validator,validator_exists,workflow_reference_count,inventory_reference_count,lineage_reference_count,script_test_reference_count,config_reference_count,docs_reference_count,workflow_references,inventory_references,lineage_references,script_test_references,config_references,docs_references,artifact_examples,deletion_decision,deletion_allowed,decision_reason,required_next_step
2026-07-12 19:17:37 Asia/Taipei,stock_price_history,shared_objective,official_price_data,active,keep_core_source,data/stock_price_history/*.csv,2376,scripts/build_stock_price_history.py,True,scripts/validate_daily_price_history_continuity.py,True,8,2,1,91,8,61,.github/workflows/daily_full_pipeline.yml;.github/workflows/daily_model_maintenance_pr_validation.yml;.github/workflows/official_price_backfill.yml;.github/workflows/official_price_fetch.yml;.github/workflows/repair_daily_price_range.yml;.github/workflows/repair_one_daily_price.yml;.github/workflows/repair_recent_daily_price_gaps.yml;.github/workflows/signal_performance_tracker.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/apply_fundamental_catalyst_layer.py;scripts/build_breakout_family_retest_grid.py;scripts/build_chatgpt_indicator_usage_guide.py;scripts/build_daily_candidate_model_layer.py;scripts/build_daily_model_parameter_research.py;scripts/build_daily_model_signal_background_features.py;scripts/build_daily_price_pullback_23ema_operation_section.py;scripts/build_daily_volume_breakout_operation_section.py;...(+83),config/daily_model_condition_spec.csv;config/daily_model_data_sharing_registry.csv;config/daily_model_semantic_ownership.csv;config/external_data_source_contract.csv;config/model_research_artifact_ownership.csv;config/model_research_protected_sentinels.csv;config/runtime_file_lineage_contract.csv;config/stock_model_contract_registry.csv,docs/APPS_SCRIPT_WORKFLOW_TRIGGER.md;docs/STOCK_PRICE_HISTORY_USAGE_RULES.md;docs/data/stock_price_history/1815.csv;docs/data/stock_price_history/2324.csv;docs/data/stock_price_history/2330.csv;docs/data/stock_price_history/2353.csv;docs/data/stock_price_history/2484.csv;docs/data/stock_price_history/3207.csv;...(+53),data/stock_price_history/0050.csv;data/stock_price_history/0051.csv;data/stock_price_history/0052.csv;data/stock_price_history/0053.csv;data/stock_price_history/0055.csv;data/stock_price_history/0056.csv;data/stock_price_history/0057.csv;data/stock_price_history/0061.csv;...(+2368),retain_shared_objective_source,False,registry cleanup_status=active; retention_policy=keep_core_source.,reuse only with point-in-time rules; do not convert to model gate by itself
2026-07-12 19:17:37 Asia/Taipei,tdcc_stock_history,shared_objective,tdcc_weekly,active,keep_core_source,data/tdcc_stock_history/*.csv,1974,scripts/build_tdcc_stock_history.py,True,scripts/validate_tdcc_chatgpt_tracking_outputs.py,True,3,2,1,18,2,35,.github/workflows/repair_tdcc_monthly_history_gaps.yml;.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/backfill_tdcc_history.py;scripts/build_chatgpt_indicator_usage_guide.py;scripts/build_daily_candidate_model_layer.py;scripts/build_daily_model_parameter_research.py;scripts/build_daily_model_signal_background_features.py;scripts/build_individual_stock_chatgpt_packets.py;scripts/build_individual_stock_raw_data_index.py;scripts/build_structured_neckline_breakout_retest_filter_grid.py;...(+10),config/daily_model_data_sharing_registry.csv;config/runtime_file_lineage_contract.csv,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;...(+27),data/tdcc_stock_history/1101.csv;data/tdcc_stock_history/1102.csv;data/tdcc_stock_history/1103.csv;data/tdcc_stock_history/1104.csv;data/tdcc_stock_history/1108.csv;data/tdcc_stock_history/1109.csv;data/tdcc_stock_history/1110.csv;data/tdcc_stock_history/1201.csv;...(+1966),retain_shared_objective_source,False,registry cleanup_status=active; retention_policy=keep_core_source.,reuse only with point-in-time rules; do not convert to model gate by itself
2026-07-12 19:17:37 Asia/Taipei,market_index_history,shared_objective,market_risk,active,keep_core_source,data/market_index_history.csv,1,scripts/update_market_index_history.py,True,scripts/validate_market_regime_dashboard.py,True,2,2,1,25,1,20,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/build_daily_model_parameter_research.py;scripts/build_daily_model_signal_background_features.py;scripts/build_historical_pattern_operation_registry.py;scripts/build_market_regime_dashboard.py;scripts/build_market_sentiment_context.py;scripts/build_market_timing_chatgpt_packet.py;scripts/build_market_timing_technical_backtest.py;scripts/build_msci_taiwan_rebalance_backtest.py;...(+17),config/daily_model_data_sharing_registry.csv,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;...(+12),data/market_index_history.csv,retain_shared_objective_source,False,registry cleanup_status=active; retention_policy=keep_core_source.,reuse only with point-in-time rules; do not convert to model gate by itself
2026-07-12 19:17:37 Asia/Taipei,market_sentiment_context_history,shared_objective,market_risk,active,keep_history,output/history/market_risk/market_sentiment_context_history.csv,1,scripts/build_market_sentiment_context.py,True,scripts/validate_market_sentiment_context.py,True,1,2,1,11,1,20,.github/workflows/daily_full_pipeline.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/build_daily_model_signal_background_features.py;scripts/build_historical_pattern_operation_registry.py;scripts/build_market_sentiment_context.py;scripts/build_market_timing_technical_backtest.py;scripts/build_surge_precondition_model.py;scripts/build_w_bottom_early_entry_stability_audit.py;scripts/research_weekly_surge_multifactor_grid.py;scripts/tracking_utils.py;...(+3),config/daily_model_data_sharing_registry.csv,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;...(+12),output/history/market_risk/market_sentiment_context_history.csv,retain_shared_objective_source,False,registry cleanup_status=active; retention_policy=keep_history.,reuse only with point-in-time rules; do not convert to model gate by itself
2026-07-12 19:17:37 Asia/Taipei,daily_model_signal_snapshots,shared_replay_evidence,daily_production,active,keep_historical_evidence,output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_*.csv,17,scripts/update_daily_published_model_snapshots.py,True,scripts/validate_daily_published_model_snapshots.py,True,4,2,1,47,4,21,.github/workflows/daily_full_pipeline.yml;.github/workflows/daily_model_maintenance_pr_validation.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/audit_daily_candidate_model_selection_correctness.py;scripts/audit_daily_candidate_pipeline_integrity.py;scripts/audit_daily_data_layer_consistency.py;scripts/backfill_historical_all_candidates_snapshots_from_git_history.py;scripts/build_chatgpt_indicator_usage_guide.py;scripts/build_daily_candidate_model_layer.py;scripts/build_daily_model_parameter_research.py;scripts/build_daily_model_signal_background_features.py;...(+39),config/daily_model_data_sharing_registry.csv;config/historical_replay_semantic_contract.csv;config/model_research_artifact_ownership.csv;config/runtime_file_lineage_contract.csv,docs/daily_pdf_contract_consumer_governance.md;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/CHATGPT_INDICATOR_USAGE_GUIDE.txt;...(+13),output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_20260615.csv;output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_20260616.csv;output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_20260617.csv;output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_20260618.csv;output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_20260622.csv;output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_20260623.csv;output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_20260624.csv;output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_20260626.csv;...(+9),retain_historical_replay_evidence,False,registry cleanup_status=active; retention_policy=keep_historical_evidence.,do not delete; preserve replay and parity audit trail
2026-07-12 19:17:37 Asia/Taipei,daily_all_candidates_snapshots,shared_replay_source,daily_production,active,keep_historical_evidence,output/history/daily_model_snapshots/all_candidates_*.csv,17,scripts/update_daily_published_model_snapshots.py,True,scripts/validate_price_pullback_daily_row_parity.py,True,6,2,1,62,8,21,.github/workflows/daily_full_pipeline.yml;.github/workflows/daily_model_maintenance_pr_validation.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/warrant_flow.yml;.github/workflows/weekly_theme_review.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/apply_fundamental_catalyst_layer.py;scripts/apply_revenue_industry_applicability.py;scripts/audit_daily_candidate_model_selection_correctness.py;scripts/audit_daily_candidate_pipeline_integrity.py;scripts/backfill_historical_all_candidates_snapshots_from_git_history.py;scripts/backfill_tdcc_history.py;scripts/build_candidate_repeat_appearance.py;scripts/build_daily_candidate_model_layer.py;...(+54),config/daily_model_data_sharing_registry.csv;config/daily_model_semantic_ownership.csv;config/event_catalyst_overlay_contract.csv;config/external_data_source_contract.csv;config/model_research_artifact_ownership.csv;config/model_research_shared_utility_migrations.csv;config/model_research_shared_utility_registry.csv;config/runtime_file_lineage_contract.csv,docs/daily_pdf_contract_consumer_governance.md;docs/latest/catalyst_layer_validation_latest.json;docs/latest/catalyst_layer_validation_latest.md;docs/latest/chatgpt_daily_report_packet_latest.txt;docs/latest/daily_candidate_model_selection_audit_latest.json;docs/latest/daily_candidate_model_selection_audit_latest.md;docs/latest/daily_candidate_pipeline_integrity_audit_latest.json;docs/latest/daily_model_background_data_cleanup_audit_latest.csv;...(+13),output/history/daily_model_snapshots/all_candidates_20260615.csv;output/history/daily_model_snapshots/all_candidates_20260616.csv;output/history/daily_model_snapshots/all_candidates_20260617.csv;output/history/daily_model_snapshots/all_candidates_20260618.csv;output/history/daily_model_snapshots/all_candidates_20260622.csv;output/history/daily_model_snapshots/all_candidates_20260623.csv;output/history/daily_model_snapshots/all_candidates_20260624.csv;output/history/daily_model_snapshots/all_candidates_20260626.csv;...(+9),retain_historical_replay_evidence,False,registry cleanup_status=active; retention_policy=keep_historical_evidence.,do not delete; preserve replay and parity audit trail
2026-07-12 19:17:37 Asia/Taipei,daily_model_signal_background_feature_panel,shared_objective,research_backtest,active,keep_latest_research_artifact,output/latest/research_backtest/daily_model_signal_background_feature_panel_latest.csv,1,scripts/build_daily_model_signal_background_features.py,True,scripts/validate_daily_model_signal_background_features.py,True,11,2,1,101,7,64,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/official_price_backfill.yml;.github/workflows/repair_daily_price_range.yml;.github/workflows/repair_one_daily_price.yml;.github/workflows/repair_recent_daily_price_gaps.yml;.github/workflows/repair_tdcc_monthly_history_gaps.yml;.github/workflows/research_backtest_pipeline.yml;...(+3),config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/apply_fundamental_catalyst_layer.py;scripts/backfill_tdcc_history.py;scripts/build_breakout_family_retest_grid.py;scripts/build_chatgpt_indicator_usage_guide.py;scripts/build_daily_candidate_model_layer.py;scripts/build_daily_model_parameter_research.py;scripts/build_daily_model_signal_background_features.py;scripts/build_daily_price_pullback_23ema_operation_section.py;...(+93),config/daily_model_data_sharing_registry.csv;config/external_data_source_contract.csv;config/historical_replay_semantic_contract.csv;config/model_research_artifact_ownership.csv;config/model_research_protected_sentinels.csv;config/runtime_file_lineage_contract.csv;config/stock_model_contract_registry.csv,docs/STOCK_PRICE_HISTORY_USAGE_RULES.md;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;...(+56),output/latest/research_backtest/daily_model_signal_background_feature_panel_latest.csv,retain_shared_objective_source,False,registry cleanup_status=active; retention_policy=keep_latest_research_artifact.,reuse only with point-in-time rules; do not convert to model gate by itself
2026-07-12 19:17:37 Asia/Taipei,daily_model_background_feature_catalog,shared_objective,research_backtest,active,keep_latest_research_artifact,output/latest/research_backtest/daily_model_background_feature_catalog_latest.csv,1,scripts/build_daily_model_signal_background_features.py,True,scripts/validate_daily_model_signal_background_features.py,True,1,2,1,5,1,4,.github/workflows/research_backtest_pipeline.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/build_daily_model_parameter_research.py;scripts/build_daily_model_signal_background_features.py;scripts/validate_daily_model_background_data_registry.py;scripts/validate_model_research_workflow_isolation.py;tests/test_daily_model_parameter_research.py,config/daily_model_data_sharing_registry.csv,docs/latest/daily_model_background_data_cleanup_audit_latest.csv;docs/latest/daily_model_background_data_cleanup_audit_latest.md;docs/latest/model_data_independence_audit_latest.csv;docs/latest/model_data_independence_audit_latest.md,output/latest/research_backtest/daily_model_background_feature_catalog_latest.csv,retain_shared_objective_source,False,registry cleanup_status=active; retention_policy=keep_latest_research_artifact.,reuse only with point-in-time rules; do not convert to model gate by itself
2026-07-12 19:17:37 Asia/Taipei,monthly_revenue_history,shared_objective,daily_model_maintenance,active,keep_core_source,data/monthly_revenue_history/monthly_revenue_history.csv,1,scripts/build_monthly_revenue_history.py;scripts/backfill_monthly_revenue_history_from_mops_html.py,False,scripts/validate_monthly_revenue_history.py,True,1,2,1,14,3,14,.github/workflows/daily_full_pipeline.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/backfill_monthly_revenue_history_from_mops_html.py;scripts/build_daily_model_parameter_research.py;scripts/build_monthly_revenue_coverage_backfill_audit.py;scripts/build_monthly_revenue_history.py;scripts/revenue_unreacted_range_lag_strength_matrix.py;scripts/update_event_catalyst_data.py;scripts/validate_daily_model_background_data_cleanup_audit.py;scripts/validate_daily_model_background_data_registry.py;...(+6),config/daily_model_data_sharing_registry.csv;config/repo_hidden_coupling_audit.csv;config/runtime_file_lineage_contract.csv,docs/latest/catalyst_data_source_status_latest.json;docs/latest/catalyst_data_source_status_latest.md;docs/latest/daily_model_background_data_cleanup_audit_latest.csv;docs/latest/daily_model_background_data_cleanup_audit_latest.md;docs/latest/model_data_independence_audit_latest.csv;docs/latest/model_data_independence_audit_latest.md;docs/latest/monthly_revenue_coverage_backfill_audit_latest.csv;docs/latest/monthly_revenue_coverage_backfill_audit_latest.md;...(+6),data/monthly_revenue_history/monthly_revenue_history.csv,retain_shared_objective_source,False,registry cleanup_status=active; retention_policy=keep_core_source.,reuse only with point-in-time rules; do not convert to model gate by itself
2026-07-12 19:17:37 Asia/Taipei,monthly_revenue_coverage_backfill_audit,shared_objective,daily_model_maintenance,active,keep_latest_research_artifact,output/latest/research_backtest/monthly_revenue_coverage_backfill_audit_latest.csv,1,scripts/build_monthly_revenue_coverage_backfill_audit.py,True,scripts/validate_monthly_revenue_coverage_backfill_audit.py,True,1,2,1,20,2,12,.github/workflows/daily_full_pipeline.yml,config/repo_file_lifecycle_inventory.csv;config/repo_production_inventory.csv,config/report_artifact_lineage.csv,scripts/build_daily_candidate_model_layer.py;scripts/build_daily_model_parameter_research.py;scripts/build_daily_model_signal_background_features.py;scripts/build_daily_price_pullback_23ema_operation_section.py;scripts/build_daily_volume_breakout_operation_section.py;scripts/build_daily_w_bottom_operation_sections.py;scripts/build_monthly_revenue_coverage_backfill_audit.py;scripts/build_monthly_revenue_history.py;...(+12),config/daily_model_data_sharing_registry.csv;config/runtime_file_lineage_contract.csv,docs/latest/daily_candidate_same_model_repeat_latest.md;docs/latest/daily_model_background_data_cleanup_audit_latest.csv;docs/latest/daily_model_background_data_cleanup_audit_latest.md;docs/latest/model_data_independence_audit_latest.csv;docs/latest/model_data_independence_audit_latest.md;docs/latest/monthly_revenue_coverage_backfill_audit_latest.csv;docs/latest/monthly_revenue_coverage_backfill_audit_latest.md;docs/latest/price_pullback_23ema_revenue_condition_matrix_latest.csv;...(+4),output/latest/research_backtest/monthly_revenue_coverage_backfill_audit_latest.csv,retain_shared_objective_source,False,registry cleanup_status=active; retention_policy=keep_latest_research_artifact.,reuse only with point-in-time rules; do not convert to model gate by itself
