日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
20260612,臺指選擇權,CALL,自營商,98926,832086,104371,697276,-5445,134810,28974,2115563,20649,2705170,8325,-589607
20260612,臺指選擇權,CALL,投信,0,0,300,15662,-300,-15662,1,179,1596,141396,-1595,-141217
20260612,臺指選擇權,CALL,外資及陸資,105761,686601,109754,722833,-3993,-36233,11507,2007071,9160,1638811,2347,368260
20260612,臺指選擇權,PUT,自營商,106895,640457,129481,690125,-22586,-49668,37094,421638,38390,531459,-1296,-109821
20260612,臺指選擇權,PUT,投信,0,0,0,0,0,0,193,319,0,0,193,319
20260612,臺指選擇權,PUT,外資及陸資,100129,619792,99940,610356,189,9435,26873,588628,20925,406297,5948,182331
20260612,電子選擇權,CALL,自營商,0,0,0,0,0,0,1179,55744,1108,52631,71,3113
20260612,電子選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260612,電子選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260612,電子選擇權,PUT,自營商,9,11,2,22,7,-10,789,20376,574,12600,215,7776
20260612,電子選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260612,電子選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260612,金融選擇權,CALL,自營商,193,1046,255,435,-62,611,680,20801,958,23644,-278,-2843
20260612,金融選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260612,金融選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260612,金融選擇權,PUT,自營商,8,37,18,40,-10,-3,508,3505,492,3521,16,-16
20260612,金融選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260612,金融選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260612,股票選擇權,CALL,自營商,355,2925,339,2737,16,187,2408,146658,2849,86458,-441,60200
20260612,股票選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260612,股票選擇權,CALL,外資及陸資,0,0,0,0,0,0,9,56,61,44316,-52,-44260
20260612,股票選擇權,PUT,自營商,240,3777,216,3185,24,592,2490,66011,1399,9227,1091,56784
20260612,股票選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260612,股票選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,55,17018,-55,-17018
20260612,ETF選擇權,CALL,自營商,5,193,0,0,5,193,400,12999,419,14208,-19,-1209
20260612,ETF選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260612,ETF選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260612,ETF選擇權,PUT,自營商,2,2,4,10,-2,-8,420,6012,396,5566,24,446
20260612,ETF選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260612,ETF選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
