日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
20260831,臺股期貨,自營商,4485,41110802,3512,32248490,973,8862312,4825,44401960,3216,29606572,1609,14795388
20260831,臺股期貨,投信,18,165519,892,8200655,-874,-8035136,79165,727953841,3287,30225280,75878,697728561
20260831,臺股期貨,外資及陸資,52523,482511017,51811,475946166,712,6564852,8105,74536023,91075,837527957,-82970,-762991934
20260831,電子期貨,自營商,28,325737,14,162658,14,163079,8,93317,123,1433270,-115,-1339953
20260831,電子期貨,投信,0,0,2,23298,-2,-23298,142,1654669,0,0,142,1654669
20260831,電子期貨,外資及陸資,73,852074,91,1060736,-18,-208662,29,337925,199,2318867,-170,-1980942
20260831,金融期貨,自營商,4,13273,28,92895,-24,-79622,21,69909,77,256333,-56,-186424
20260831,金融期貨,投信,0,0,0,0,0,0,34,113186,0,0,34,113186
20260831,金融期貨,外資及陸資,170,563557,120,397607,50,165949,124,412796,155,515995,-31,-103199
20260831,小型臺指期貨,自營商,8423,19356705,7852,18040086,571,1316619,3517,8097058,8704,20054541,-5187,-11957483
20260831,小型臺指期貨,投信,0,0,4,9195,-4,-9195,106,243678,153,351724,-47,-108046
20260831,小型臺指期貨,外資及陸資,102351,235310837,105310,242111257,-2959,-6800420,2770,6369033,2524,5803035,246,565998
20260831,微型臺指期貨,自營商,12459,5736499,26103,11997435,-13644,-6260936,4539,2090195,40978,18869582,-36439,-16779387
20260831,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,微型臺指期貨,外資及陸資,159939,73629669,163733,75364887,-3794,-1735218,17753,8162476,644,296092,17109,7866384
20260831,小型電子期貨,自營商,59,85925,135,195682,-76,-109757,139,202516,168,244705,-29,-42189
20260831,小型電子期貨,投信,0,0,0,0,0,0,77,112156,0,0,77,112156
20260831,小型電子期貨,外資及陸資,595,866633,582,848108,13,18525,24,34958,5,7283,19,27675
20260831,小型金融期貨,自營商,32,26538,6,4987,26,21551,175,145644,42,34955,133,110689
20260831,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,小型金融期貨,外資及陸資,124,102698,115,95215,9,7483,3,2497,18,14981,-15,-12484
20260831,股票期貨,自營商,47373,23065880,53084,23731583,-5711,-665703,80784,28635713,280024,190496326,-199240,-161860613
20260831,股票期貨,投信,146,20452,228,269625,-82,-249173,4303,9162187,185,32112,4118,9130075
20260831,股票期貨,外資及陸資,300905,151932677,313213,158248217,-12308,-6315540,171568,138547695,602724,367600768,-431156,-229053073
20260831,ETF期貨,自營商,2325,1218139,4595,1903396,-2270,-685258,12638,4594586,37453,24454284,-24815,-19859698
20260831,ETF期貨,投信,0,0,0,0,0,0,11326,11087003,45,18279,11281,11068724
20260831,ETF期貨,外資及陸資,5498,3753871,5990,3732475,-492,21396,12419,9826584,3360,1912636,9059,7913948
20260831,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
20260831,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,櫃買指數期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260831,非金電期貨,自營商,98,16244,179,29750,-81,-13506,338,56360,74,12349,264,44011
20260831,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,非金電期貨,外資及陸資,88,14621,28,4652,60,9969,31,5167,40,6667,-9,-1500
20260831,富櫃200期貨,自營商,4,3659,1,918,3,2741,7,6493,10,9275,-3,-2782
20260831,富櫃200期貨,投信,0,0,0,0,0,0,29,26898,0,0,29,26898
20260831,富櫃200期貨,外資及陸資,0,0,1,918,-1,-918,0,0,0,0,0,0
20260831,臺灣永續期貨,自營商,0,0,0,0,0,0,29,74637,29,74637,0,0
20260831,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,臺灣永續期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260831,臺灣生技期貨,自營商,4,892,0,0,4,892,0,0,4,892,-4,-892
20260831,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,臺灣生技期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260831,半導體30期貨,自營商,21,16213,21,16274,0,-62,16,12442,12,9330,4,3112
20260831,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,半導體30期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260831,航運期貨,自營商,1,208,6,1258,-5,-1050,1,208,9,1876,-8,-1668
20260831,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,航運期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260831,東證期貨,自營商,81,67294,92,76428,-11,-9135,21,17334,78,64721,-57,-47387
20260831,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260831,東證期貨,外資及陸資,134,111354,124,103040,10,8314,0,0,60,49913,-60,-49913
