日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
20260812,臺指選擇權,CALL,自營商,60875,503243,67355,357106,-6480,146137,24294,1210697,17987,926772,6307,283925
20260812,臺指選擇權,CALL,投信,0,0,1052,113255,-1052,-113255,0,0,2380,241792,-2380,-241792
20260812,臺指選擇權,CALL,外資及陸資,80169,459222,80331,460138,-162,-916,9764,441835,6635,555083,3129,-113248
20260812,臺指選擇權,PUT,自營商,70571,326190,84386,327273,-13815,-1083,23059,359878,14150,260046,8909,99832
20260812,臺指選擇權,PUT,投信,80,133,0,0,80,133,165,375,0,0,165,375
20260812,臺指選擇權,PUT,外資及陸資,80560,386125,83609,424322,-3049,-38196,14950,165678,14413,180339,537,-14661
20260812,電子選擇權,CALL,自營商,0,0,0,0,0,0,81,2636,32,1084,49,1552
20260812,電子選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260812,電子選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260812,電子選擇權,PUT,自營商,6,2,1,16,5,-14,79,547,77,719,2,-172
20260812,電子選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260812,電子選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260812,金融選擇權,CALL,自營商,0,0,8,31,-8,-31,54,795,150,172,-96,623
20260812,金融選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260812,金融選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260812,金融選擇權,PUT,自營商,7,106,3,8,4,99,39,60,111,1195,-72,-1135
20260812,金融選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260812,金融選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260812,股票選擇權,CALL,自營商,438,8096,419,8145,19,-50,1839,75069,982,37957,857,37112
20260812,股票選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260812,股票選擇權,CALL,外資及陸資,10,860,0,0,10,860,30,1570,151,9450,-121,-7880
20260812,股票選擇權,PUT,自營商,116,1636,131,2320,-15,-684,1311,40986,512,2589,799,38397
20260812,股票選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260812,股票選擇權,PUT,外資及陸資,10,732,0,0,10,732,0,0,16,20024,-16,-20024
20260812,ETF選擇權,CALL,自營商,117,1180,120,1352,-3,-173,289,12524,178,1841,111,10683
20260812,ETF選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260812,ETF選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260812,ETF選擇權,PUT,自營商,60,1291,63,1309,-3,-18,191,1687,126,1328,65,359
20260812,ETF選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260812,ETF選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
