日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
20260909,臺指選擇權,CALL,自營商,74205,541057,73536,369038,669,172018,26255,1395631,16216,967707,10039,427924
20260909,臺指選擇權,CALL,投信,0,0,2980,154943,-2980,-154943,2,226,4717,312361,-4715,-312135
20260909,臺指選擇權,CALL,外資及陸資,110837,582833,115841,572083,-5004,10750,8054,399980,10258,771088,-2204,-371108
20260909,臺指選擇權,PUT,自營商,79520,410096,89065,418279,-9545,-8183,19117,234551,18921,184539,196,50012
20260909,臺指選擇權,PUT,投信,0,0,0,0,0,0,106,46,0,0,106,46
20260909,臺指選擇權,PUT,外資及陸資,131333,622108,130313,616995,1020,5113,6176,121925,5511,46178,665,75747
20260909,電子選擇權,CALL,自營商,0,0,0,0,0,0,13,287,62,945,-49,-658
20260909,電子選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260909,電子選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260909,電子選擇權,PUT,自營商,0,0,0,0,0,0,14,53,8,33,6,20
20260909,電子選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260909,電子選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260909,金融選擇權,CALL,自營商,35,388,56,549,-21,-161,129,4947,563,8959,-434,-4012
20260909,金融選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260909,金融選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260909,金融選擇權,PUT,自營商,37,271,53,278,-16,-7,95,472,116,575,-21,-103
20260909,金融選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260909,金融選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260909,股票選擇權,CALL,自營商,201,3437,331,9027,-130,-5590,2329,80883,1228,35796,1101,45087
20260909,股票選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260909,股票選擇權,CALL,外資及陸資,25,2920,0,0,25,2920,42,2820,92,5389,-50,-2569
20260909,股票選擇權,PUT,自營商,181,3814,135,2815,46,999,1312,16472,269,3603,1043,12869
20260909,股票選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260909,股票選擇權,PUT,外資及陸資,0,0,0,0,0,0,16,469,40,202,-24,267
20260909,ETF選擇權,CALL,自營商,8,402,3,216,5,186,418,4779,345,3737,73,1042
20260909,ETF選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260909,ETF選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260909,ETF選擇權,PUT,自營商,0,0,0,0,0,0,375,1781,329,3160,46,-1379
20260909,ETF選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260909,ETF選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
