logical_source,stock_id,expected_path,url,source_type,success,status_category,http_status,error_message,rows,columns,line_count,local_file_exists,local_line_count,local_rows,local_columns,file_size,latest_date,empty_table,newline_ok,chatgpt_friendly,sample_status,mature_sample_status,content_preview_hash,checked_at
all_candidates,,output/latest/all_candidates_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/all_candidates_latest.csv,raw,True,success,200,,519,205,520,True,520,519,205,745621,20260525,False,True,True,ok,,2776fb198ac53174,2026-05-25 22:42:54 Asia/Taipei
candidate_repeat_appearance,,output/latest/candidate_repeat_appearance_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/candidate_repeat_appearance_latest.csv,raw,True,success,200,,400,13,401,True,401,400,13,61106,20260525,False,True,True,ok,,0eba1ee338c6d54d,2026-05-25 22:42:54 Asia/Taipei
daily_market_full,,output/latest/daily_market_full_latest.md,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/daily_market_full_latest.md,raw,True,success,200,,567,1,567,True,567,567,1,313819,,False,True,True,ok,,3b1a90fa9bb313a8,2026-05-25 22:42:54 Asia/Taipei
daily_market_summary,,output/latest/daily_market_summary_latest.md,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/daily_market_summary_latest.md,raw,True,success,200,,447,1,447,True,447,447,1,33108,,False,True,True,ok,,0b8885b86545bb12,2026-05-25 22:42:54 Asia/Taipei
daily_report_packet,,output/latest/chatgpt_daily_report_packet_latest.txt,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/chatgpt_daily_report_packet_latest.txt,raw,True,success,200,,1175,1,1175,True,1175,1175,1,359742,,False,True,True,ok,,535b8de0c315cd18,2026-05-25 22:42:54 Asia/Taipei
daily_signal_performance_summary,,output/latest/daily_signal_performance_summary_latest.md,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/daily_signal_performance_summary_latest.md,raw,True,success,200,,120,1,120,True,120,120,1,5426,,False,True,True,ok,,526114f19eeeb4f5,2026-05-25 22:43:00 Asia/Taipei
individual_stock_available_raw_data_index,,output/latest/individual_stock_available_raw_data_index.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/individual_stock_available_raw_data_index.csv,raw,True,success,200,,2149,28,2150,True,2150,2149,28,1442986,,False,True,True,ok,,03037be88fc0a2b3,2026-05-25 22:43:00 Asia/Taipei
individual_stock_reports_index,,output/latest/individual_stock_reports_index.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/individual_stock_reports_index.csv,raw,True,success,200,,4,13,5,True,5,4,13,2512,,False,True,True,ok,,57b4e6038ff3c6d9,2026-05-25 22:43:00 Asia/Taipei
readme_first,,output/latest/READ_ME_FIRST_DAILY_REPORT.txt,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/READ_ME_FIRST_DAILY_REPORT.txt,raw,True,success,200,,122,1,122,True,122,122,1,15920,,False,True,True,ok,,c703aee769d8d0ab,2026-05-25 22:42:54 Asia/Taipei
stock_monitor,,output/latest/stock_monitor_latest.md,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/stock_monitor_latest.md,raw,True,success,200,,161,1,161,True,161,161,1,17742,,False,True,True,ok,,41f808f406fdc61d,2026-05-25 22:42:54 Asia/Taipei
