日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
20260713,臺指選擇權,CALL,自營商,93758,517551,96503,455410,-2745,62141,24732,940604,17727,876253,7005,64351
20260713,臺指選擇權,CALL,投信,0,0,430,32023,-430,-32023,6,87,1658,76645,-1652,-76558
20260713,臺指選擇權,CALL,外資及陸資,78297,440206,77599,441366,698,-1160,8197,264625,7038,526112,1159,-261487
20260713,臺指選擇權,PUT,自營商,83933,552906,89194,576689,-5261,-23783,24992,507804,24717,554475,275,-46671
20260713,臺指選擇權,PUT,投信,0,0,0,0,0,0,87,116,0,0,87,116
20260713,臺指選擇權,PUT,外資及陸資,78201,541964,76157,537099,2044,4865,21838,384951,12135,277929,9703,107022
20260713,電子選擇權,CALL,自營商,0,0,12,9,-12,-9,162,1200,151,1120,11,80
20260713,電子選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260713,電子選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260713,電子選擇權,PUT,自營商,2,18,3,28,-1,-10,141,3241,89,2194,52,1047
20260713,電子選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260713,電子選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260713,金融選擇權,CALL,自營商,114,1497,111,598,3,899,414,13449,814,12517,-400,932
20260713,金融選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260713,金融選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260713,金融選擇權,PUT,自營商,53,616,71,2259,-18,-1643,221,861,340,3181,-119,-2320
20260713,金融選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260713,金融選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260713,股票選擇權,CALL,自營商,212,4140,218,3750,-6,391,1782,72146,2279,51728,-497,20418
20260713,股票選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260713,股票選擇權,CALL,外資及陸資,35,1799,0,0,35,1799,47,4273,95,12499,-48,-8226
20260713,股票選擇權,PUT,自營商,210,1252,140,1417,70,-165,2008,76669,871,9479,1137,67190
20260713,股票選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260713,股票選擇權,PUT,外資及陸資,16,876,0,0,16,876,18,1092,70,41375,-52,-40283
20260713,ETF選擇權,CALL,自營商,44,2237,33,1340,11,897,229,5465,217,2775,12,2690
20260713,ETF選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260713,ETF選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260713,ETF選擇權,PUT,自營商,13,70,2,27,11,43,284,1899,131,255,153,1644
20260713,ETF選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260713,ETF選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
