stock_id,stock_name,industry,primary_theme,secondary_themes,structural_theme_bucket,theme_mainstream_label,taxonomy_source,concept_tags,notes
2317,鴻海,其他電子業,AI伺服器,,ai_server_ipc_theme,core_mainstream,authorized_seed,AI伺服器,user_authorized_seed_20260530
2356,英業達,電腦及週邊設備業,AI伺服器,,ai_server_ipc_theme,core_mainstream,authorized_seed,AI伺服器,user_authorized_seed_20260530
2382,廣達,電腦及週邊設備業,AI伺服器,,ai_server_ipc_theme,core_mainstream,authorized_seed,AI伺服器,user_authorized_seed_20260530
3231,緯創,電腦及週邊設備業,AI伺服器,,ai_server_ipc_theme,core_mainstream,authorized_seed,AI伺服器,user_authorized_seed_20260530
3706,神達,電腦及週邊設備業,AI伺服器,,ai_server_ipc_theme,core_mainstream,authorized_seed,AI伺服器,user_authorized_seed_20260530
4938,和碩,電腦及週邊設備業,AI伺服器,,ai_server_ipc_theme,core_mainstream,authorized_seed,AI伺服器,user_authorized_seed_20260530
6669,緯穎,電腦及週邊設備業,AI伺服器,,ai_server_ipc_theme,core_mainstream,authorized_seed,AI伺服器,user_authorized_seed_20260530
2345,智邦,通信網路業,CPO光通訊,網通交換器,network_optical_datacenter_theme,core_mainstream,authorized_seed,CPO光通訊;網通交換器,user_authorized_seed_20260530
3081,聯亞,,CPO光通訊,,network_optical_datacenter_theme,core_mainstream,authorized_seed,CPO光通訊,user_authorized_seed_20260530
3363,上詮,,CPO光通訊,,network_optical_datacenter_theme,core_mainstream,authorized_seed,CPO光通訊,user_authorized_seed_20260530
3450,聯鈞,optical communication,CPO光通訊,optical components,network_optical_datacenter_theme,core_mainstream,authorized_seed,CPO光通訊;optical;CPO,user_authorized_seed_20260530
4908,前鼎,,CPO光通訊,,network_optical_datacenter_theme,core_mainstream,authorized_seed,CPO光通訊,user_authorized_seed_20260530
4979,華星光,,CPO光通訊,,network_optical_datacenter_theme,core_mainstream,authorized_seed,CPO光通訊,user_authorized_seed_20260530
2313,華通,電子零組件業,PCB_CCL_ABF材料,低軌衛星;軍工無人機,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;低軌衛星;軍工無人機,user_authorized_seed_20260530
2367,燿華,電子零組件業,PCB_CCL_ABF材料,低軌衛星,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;低軌衛星,user_authorized_seed_20260530
2368,金像電,電子零組件業,PCB_CCL_ABF材料,網通交換器;車用電子,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;網通交換器;車用電子,user_authorized_seed_20260530
2383,台光電,電子零組件業,PCB_CCL_ABF材料,網通交換器,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;網通交換器,user_authorized_seed_20260530
3037,欣興,,PCB_CCL_ABF材料,車用電子,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;車用電子,user_authorized_seed_20260530
3044,健鼎,電子零組件業,PCB_CCL_ABF材料,車用電子,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;車用電子,user_authorized_seed_20260530
3189,景碩,,PCB_CCL_ABF材料,,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;ABF,user_authorized_seed_20260530
