generated_at,model_id,model_name_zh,parity_status,blocker,operation_module_status,daily_adapter_status,formal_model_use_allowed,approved_for_daily,approval_status,operation_module_id,operation_module_path,operation_module_canonical_sha256,adapter_artifact_id,adapter_artifact_version,adapter_artifact_path,adapter_artifact_canonical_sha256,adapter_schema_version,lifecycle_contract_version,approval_version,presentation_allowed,production_allowed,operation_directive_level,pdf_integration_status,packet_integration_status,registry_pattern_count,registry_current_model_pattern_count,registry_best_pattern_id,registry_best_sample_size,registry_best_win_rate,registry_best_median_return,daily_adapter_row_count,daily_adapter_data_row_count,daily_adapter_sections,status_note_zh
2026-07-12 03:48:55 Asia/Taipei,volume_range_breakout_v2_low_position_volume_attack,低位放量攻擊,production_parity,v2 volume breakout operation adapter is ready,approved_operation_v1,ready_approved_operation_guidance,,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,,,,,,,,,volume_range_breakout_v2_formal_operation_20260709,True,,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,volume_range_breakout_v2_low_position_volume_attack,26,80.7692,18.7857,8,3,"active_operation,confirmed_operation,confirmed_unranked_operation,pending_confirmation",v2 放量攻擊正式模型：模型條件加 close-only 確認就是買入 gate；TDCC、MA60/MA120、EMA23 距離僅能作分層或加分，不得作 hidden gate。
2026-07-12 03:48:55 Asia/Taipei,volume_range_breakout_v2_mid_position_momentum_attack,中位動能放量攻擊,production_parity,v2 volume breakout operation adapter is ready,approved_operation_v1,ready_empty_no_operation_rows,,True,approved_for_daily_v1,volume_range_breakout_v2_mid_position_operation_v1,,,,,,,,,volume_range_breakout_v2_formal_operation_20260709,True,,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,volume_range_breakout_v2_mid_position_momentum_attack,25,80.0000,14.6953,6,0,"active_operation,confirmed_operation,confirmed_unranked_operation,pending_confirmation",v2 放量攻擊正式模型：模型條件加 close-only 確認就是買入 gate；TDCC、MA60/MA120、EMA23 距離僅能作分層或加分，不得作 hidden gate。
2026-07-12 03:48:55 Asia/Taipei,volume_range_breakout_v2_high_position_volume_attack,高位階放量攻擊,production_parity,v2 volume breakout operation adapter is ready,approved_operation_v1,ready_approved_operation_guidance,,True,approved_for_daily_v1,volume_range_breakout_v2_high_position_operation_v1,,,,,,,,,volume_range_breakout_v2_high_position_operation_20260710,True,,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,volume_range_breakout_v2_high_position_volume_attack,231,62.3377,6.6055,6,1,"active_operation,confirmed_operation,confirmed_unranked_operation,pending_confirmation",v2 放量攻擊正式模型：模型條件加 close-only 確認就是買入 gate；TDCC、MA60/MA120、EMA23 距離僅能作分層或加分，不得作 hidden gate。
2026-07-12 03:48:55 Asia/Taipei,w_bottom_right_side,W底右側模型,production_parity,W-bottom operation adapter is ready,approved_operation_v2,ready_approved_operation_guidance,,True,approved_for_daily_v2,w_bottom_early_entry_operation_v2,,,,,,,,,w_bottom_early_entry_operation_v2_20260629,True,,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,smooth_core_mainstream_right_rebound_5_20_bull,31,58.0645,6.2374,86,86,"active_operation,confirmed_operation",W底右側模型已核准為 daily operation guidance，PDF 僅能消費 model-owned operation adapter。
2026-07-12 03:48:55 Asia/Taipei,neckline_volume_breakout_confirmation,W底頸線帶量突破確認模型,production_parity,neckline operation adapter is ready,approved_operation_v1,ready_empty_no_operation_rows,,True,approved_for_daily_v1,neckline_strict_45_signal_90_score_v1,,,,,,,,,neckline_strict_45_signal_90_score_v1_20260629,True,,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,low_position_le60_market_bull,51,63.8889,4.4597,4,0,"active_operation,confirmed_operation",W底頸線帶量突破確認模型已核准為 daily operation guidance，PDF 僅能消費 model-owned operation adapter。
2026-07-12 03:48:55 Asia/Taipei,price_pullback_23ema,23EMA回檔模型,production_parity,price_pullback_23ema operation adapter is ready,approved_operation_v1,ready_approved_operation_guidance,,True,approved_for_daily_v1,price_pullback_23ema_prev20_breakout_stop_v1,,,,,,,,,price_pullback_23ema_operation_v1_20260703,True,,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,v1_gate_return20_tdcc_high_obv,1160,66.03,,280,280,"active_operation,confirmed_operation",23EMA回檔模型已核准為 daily operation guidance，PDF 僅能消費 model-owned operation adapter。
2026-07-12 03:48:55 Asia/Taipei,hot_theme_pullback,熱門族群回檔模型,production_proxy,daily hot-theme labels are not fully backfilled as point-in-time model-layer fields,baseline_only_no_validated_operation_module,not_started,,False,not_started,,,,,,,,,,,False,,no_operation_directive,not_started,not_started,0,0,,0,,,0,0,,目前只有 research baseline/parameter 對照，沒有 validated operation module，不得產生買入、出場、停損或排序操作建議。
2026-07-12 03:48:55 Asia/Taipei,pullback_short_reclaim,回檔後短線轉強模型,production_proxy,pullback_entry_zone/right_side/ma20_reclaim setup flags are not fully backfilled,baseline_only_no_validated_operation_module,not_started,,False,not_started,,,,,,,,,,,False,,no_operation_directive,not_started,not_started,0,0,,0,,,0,0,,目前只有 research baseline/parameter 對照，沒有 validated operation module，不得產生買入、出場、停損或排序操作建議。
2026-08-31 09:33:55 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,provisional_backtest_supported_oos_unconfirmed,none,approved_operation_v2_provisional_backtest_supported_oos_unconfirmed,ready_empty_no_operation_rows,True,True,provisional_backtest_supported_oos_unconfirmed,revenue_unreacted_range_source_mid_falling_v2_operation_v2,scripts/build_daily_revenue_unreacted_range_operation_section.py,91d857f4a00795b747cc4c8698b2d4d706e57e684e638f2c6d075fe50593a635,daily_revenue_unreacted_range_operation_section,revenue_unreacted_range_source_mid_falling_formal_operation_v2_20260830,output/latest/daily_revenue_unreacted_range_operation_section_latest.csv,68e9e920c6fe91167fb0c2eaacb3772c2a4c586bbfe43e439fca302d83426969,revenue_unreacted_range_operation_section_schema_v2,revenue_unreacted_range_lifecycle_v2,revenue_unreacted_range_source_mid_falling_formal_operation_v2_20260830,True,True,approved_daily_operation_guidance,pdf_integrated_daily_adapter,pending_packet_consumer,1,1,source_mid_falling,53,77.3585,9.4077,12,0,"active_operation,confirmed_operation,confirmed_unranked_operation,pending_confirmation",revenue_unreacted_range／source_mid_falling v2 已依凍結規則以 provisional_backtest_supported_oos_unconfirmed 上線；53 筆歷史操作、時序穩定性、同期對照與交易成本檢查均未用於調參或重選樣。forward_holdout_v2 目前成熟度 0/20，僅作為 post-launch monitoring，並持續執行 PIT、canonical hash、append-only 與 exact replay 完整性檢查，不再阻擋上線。formal adapter v2 與 PDF consumer 已啟用；packet 尚未整合，不得宣稱 packet integration。舊 legacy selector 已退出 daily selection／PDF，程式碼保留待 dependency audit。模型仍僅使用月營收；EPS、毛利率、營益率、營業利益、業外損益、淨利及季度／年度財報欄位均不在條件、分數或 promotion evidence 範圍。
2026-07-12 03:48:55 Asia/Taipei,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,production_proxy,daily specialty packet fields are not a single core build_specs condition and must be replayed from historical TDCC/technical proxies,baseline_only_no_validated_operation_module,not_started,,False,not_started,,,,,,,,,,,False,,no_operation_directive,not_started,not_started,0,0,,0,,,0,0,,目前只有 research baseline/parameter 對照，沒有 validated operation module，不得產生買入、出場、停損或排序操作建議。
