出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1150911,11508,1240,茂生農經,農業科技,251724,242511,230525,3.7990029318257728,9.195965730398004,1934907,1795018,7.793180904035503,-
1150911,11508,1259,安心,觀光餐旅,557241,550828,518800,1.1642472786423348,7.409599074787972,4199264,4028338,4.243089830098666,-
1150911,11508,1264,德麥,食品工業,574572,593252,526051,-3.1487462326296414,9.223630408458495,4633411,4324235,7.149842688938043,-
1150911,11508,1268,漢來美食,觀光餐旅,593410,551405,494542,7.617812678521232,19.991830825288854,4820456,4104798,17.434670354058834,-
1150911,11508,1294,漢田生技,食品工業,51332,69919,68440,-26.583618186758965,-24.99707773232028,576577,494773,16.5336427007941,-
1150911,11508,1295,生合,食品工業,75012,78660,75481,-4.63768115942029,-0.621348418807382,664388,682289,-2.6236682696042295,-
1150911,11508,1336,台翰,電子零組件業,314788,324336,215400,-2.94386068768191,46.14113277623027,1886730,1677830,12.450605842069816,-
1150911,11508,1565,精華,生技醫療業,302119,303353,345141,-0.40678681272313116,-12.465050515586384,2385832,2851420,-16.328285555968606,-
1150911,11508,1569,濱川,電腦及週邊設備業,208971,207224,279673,0.8430490676755588,-25.280237992226635,2041190,2210166,-7.645398580921071,-
1150911,11508,1570,力肯,電機機械,30262,37664,54046,-19.652718776550554,-44.00695703659845,356082,390114,-8.723603869638106,-
1150911,11508,1580,新麥,電機機械,374472,440522,416408,-14.993575803251597,-10.070892009759659,3079802,3181929,-3.209593928714311,-
1150911,11508,1584,精剛,其他,210511,195477,199485,7.690930390787663,5.5272326240068175,1490444,1745077,-14.591505131292202,-
1150911,11508,1586,和勤,電機機械,209678,219209,186346,-4.347905423591184,12.520794650810858,1598332,1476316,8.264897217126956,-
1150911,11508,1591,駿吉-KY,電機機械,53841,42489,5238,26.71750335380922,927.8923253150057,349504,79963,337.08215049460375,本期銷售數量增加所致
1150911,11508,1593,祺驊,運動休閒,115295,122407,94577,-5.810125237935739,21.90596022288717,884304,786009,12.505581997152705,-
1150911,11508,1595,川寶,半導體業,87427,111520,64469,-21.60419655667145,35.61091377251082,610904,478114,27.77371087230242,-
1150911,11508,1599,宏佳騰,電機機械,292257,249147,147235,17.30303796553842,98.4969606411519,1614553,1268729,27.257515198281116,市場需求提升客戶增加拉貨所致
1150911,11508,1742,台蠟,化學工業,8002,3653,5247,119.05283328770874,52.506194015627976,52979,83719,-36.71806877769682,本月營收較去年同期增加，係因蠟品較去年同期增加
1150911,11508,1777,生泰,生技醫療業,134826,102068,114568,32.09429008112239,17.68207527407304,848871,868536,-2.2641548536848215,-
1150911,11508,1780,立弘,食品工業,74837,82537,66535,-9.329149351200067,12.477643345607575,655773,564500,16.168821966341895,-
1150911,11508,1781,合世,生技醫療業,29128,21098,21874,38.06047966631908,33.16265886440523,243516,257328,-5.367468755829137,-
1150911,11508,1784,訊聯,生技醫療業,109060,121005,95351,-9.87149291351597,14.37740558567818,883117,802804,10.004060767011625,-
1150911,11508,1785,光洋科,其他電子業,4515809,5261124,3454857,-14.166459486604003,30.70899895422589,40546922,24815120,63.39603435324915,主係業績增長所致
1150911,11508,1788,杏昌,生技醫療業,383189,362860,351739,5.602436201289754,8.941288853382764,2998845,2825309,6.142195420040782,-
1150911,11508,1796,金穎生技,食品工業,57338,64643,64348,-11.300527512646381,-10.893889475974389,444105,444874,-0.17285793280794112,-
1150911,11508,1799,易威,生技醫療業,107765,67691,59075,59.20137093557489,82.42065171392298,638785,358573,78.14643043397021,因新藥/學名藥產品出貨較去年同期多，故營收成長。
1150911,11508,1813,寶利徠,生技醫療業,22715,22779,22584,-0.2809605338250143,0.5800566772936592,193240,210239,-8.08555976769296,-
1150911,11508,1815,富喬,電子零組件業,912400,854379,509132,6.791014292252034,79.20696400933353,5779410,3822377,51.19937149056726,主要受惠於AI伺服器與高速傳輸需求帶動高階產品出貨比重提高，電子級玻纖布產品市場價格走高。
1150911,11508,2035,唐榮公司,鋼鐵工業,669227,880207,923686,-23.96936175240597,-27.548214436507646,6841168,6802803,0.5639587093731805,-
1150911,11508,2061,風青,電器電纜,119426,126081,83854,-5.2783528049428545,42.421351396474826,918092,773138,18.74878740923354,-
1150911,11508,2063,世鎧精密,鋼鐵工業,60563,88303,72923,-31.41456122668539,-16.94938496770566,608595,665406,-8.537794970288816,-
1150911,11508,2064,晉椿,鋼鐵工業,128613,143500,140649,-10.374216027874564,-8.557472857965573,1166949,1007153,15.866109717192918,-
1150911,11508,2065,世豐,鋼鐵工業,205027,240139,159291,-14.621531696225937,28.712231073946427,1537632,1389694,10.645365094761868,-
1150911,11508,2066,世德,電機機械,223565,211148,199871,5.880709265538863,11.854646246829205,1906616,1754325,8.680888660880965,-
1150911,11508,2067,嘉鋼,電機機械,80111,75520,80827,6.079184322033898,-0.8858426021007831,620511,682244,-9.04852222958355,-
1150911,11508,2070,精湛,電機機械,74081,106258,63963,-30.281955241017148,15.818520081922362,525837,421173,24.850595835915406,-
1150911,11508,2073,雄順,鋼鐵工業,153282,147018,43822,4.260702771089254,249.78321391082105,679887,377011,80.3361175138126,主因今年第二季起開始增加購料含料自製生產銷售，使得營業收入增加。
1150911,11508,2221,大甲,其他,198738,139767,109607,42.19236300414261,81.31871139616996,1145665,887484,29.091341365027425,本公司相關工程案訂單持續出貨所致。
1150911,11508,2230,泰茂,居家生活,39324,133854,247693,-70.62172217490699,-84.12389530588268,1318884,1119480,17.812198520741774,酒水事業收入減少
