Date,SecuritiesCompanyCode,CompanyName,DispositionPeriod,DispositionReasons,DisposalCondition
1150603,33466,麗清六,1150604~1150617,轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置,上市公司麗清科技股份有限公司股票(代號：3346)經臺灣證券交易所股份有限公司發布處置，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自115年6月4日起10個營業日(115年6月4日至115年6月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對麗清科技股份有限公司國內第六次無擔保轉換公司債（代號：33466）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。
1150603,3556,禾瑞亞,1150604~1150617,因連續3個營業日達本中心作業要點第四條第一項第一款,禾瑞亞科技股份有限公司股票(代號：3556)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年6月4日起10個營業日(115年6月4日至115年6月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。
1150603,6548,長科*,1150604~1150617,因連續3個營業日達本中心作業要點第四條第一項第一款,長華科技股份有限公司股票(代號：6548)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年6月4日起10個營業日(115年6月4日至115年6月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。
1150603,705031,訊聯群益5A購02,1150604~1150617,因連續3個營業日達本中心作業要點第四條第一項第一款,訊聯群益5A購02權證(代號：705031)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年6月4日起10個營業日(115年6月4日至115年6月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。
1150603,76101,聯友金屬一創,1150604~1150617,因連續3個營業日達本中心作業要點第四條第一項第一款,聯友金屬科技股份有限公司國內第一次無擔保轉換公司債(代號：76101)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年6月4日起10個營業日(115年6月4日至115年6月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。
1150603,7709,榮田,1150604~1150617,因連續3個營業日達本中心作業要點第四條第一項第一款,榮田精機股份有限公司股票(代號：7709)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年6月4日起10個營業日(115年6月4日至115年6月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。
1150603,8277,商丞,1150604~1150617,因連續3個營業日達本中心作業要點第四條第一項第一款,商丞科技股份有限公司股票(代號：8277)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年6月4日起10個營業日(115年6月4日至115年6月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每10分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。
1150602,23372,旺宏二,1150603~1150616,轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置,上市公司旺宏電子股份有限公司股票(代號：2337)經臺灣證券交易所股份有限公司發布處置，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自115年6月3日起10個營業日(115年6月3日至115年6月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對旺宏電子股份有限公司國內第二次無擔保轉換公司債（代號：23372）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。
1150602,4979,華星光,1150603~1150616,連續5個營業日,華星光通科技股份有限公司股票(代號：4979)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自115年6月3日起10個營業日(115年6月3日至115年6月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。
1150602,49793,華星光三,1150603~1150616,轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置,華星光通科技股份有限公司股票(代號：4979)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自115年6月3日起10個營業日(115年6月3日至115年6月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對華星光通科技股份有限公司國內第三次無擔保轉換公司債（代號：49793）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。
