date,status,twse_rows,tpex_rows,total_rows,reason,saved_files
20240201,repaired,1128,817,1945,full_market_ok,data/daily_price/20240201.csv;data/daily_price/daily_price_20240201.csv
20240202,repaired,1125,820,1945,full_market_ok,data/daily_price/20240202.csv;data/daily_price/daily_price_20240202.csv
20240203,skipped_weekend,0,0,0,weekend,
20240204,skipped_weekend,0,0,0,weekend,
20240205,repaired,1126,818,1944,full_market_ok,data/daily_price/20240205.csv;data/daily_price/daily_price_20240205.csv
20240206,failed,1236,0,1236,"GET https://www.tpex.org.tw/web/stock/aftertrading/daily_close_quotes/stk_quote_result.php?l=zh-tw&o=csv&d=113/02/06&s=0,asc,0 -> status=200, chars=1391211; TPEX_OLD_DAILY_CSV: rejected response date 20260626; target date is 20240206; Skip TPEx latest-only source=TPEX_OPENAPI_MAINBOARD_DAILY_CLOSE_QUOTES for historical target date 20240206; TPEx batch best rows=0; date=20240206 twse_rows=1236 tpex_rows=0 total_rows=1236 full_market_ok=False",
20240207,failed,1236,0,1236,"GET https://www.tpex.org.tw/web/stock/aftertrading/daily_close_quotes/stk_quote_result.php?l=zh-tw&o=csv&d=113/02/07&s=0,asc,0 -> status=200, chars=1391211; TPEX_OLD_DAILY_CSV: rejected response date 20260626; target date is 20240207; Skip TPEx latest-only source=TPEX_OPENAPI_MAINBOARD_DAILY_CLOSE_QUOTES for historical target date 20240207; TPEx batch best rows=0; date=20240207 twse_rows=1236 tpex_rows=0 total_rows=1236 full_market_ok=False",
20240208,failed,1236,0,1236,"GET https://www.tpex.org.tw/web/stock/aftertrading/daily_close_quotes/stk_quote_result.php?l=zh-tw&o=csv&d=113/02/08&s=0,asc,0 -> status=200, chars=1391211; TPEX_OLD_DAILY_CSV: rejected response date 20260626; target date is 20240208; Skip TPEx latest-only source=TPEX_OPENAPI_MAINBOARD_DAILY_CLOSE_QUOTES for historical target date 20240208; TPEx batch best rows=0; date=20240208 twse_rows=1236 tpex_rows=0 total_rows=1236 full_market_ok=False",
20240209,failed,1236,0,1236,"GET https://www.tpex.org.tw/web/stock/aftertrading/daily_close_quotes/stk_quote_result.php?l=zh-tw&o=csv&d=113/02/09&s=0,asc,0 -> status=200, chars=1391211; TPEX_OLD_DAILY_CSV: rejected response date 20260626; target date is 20240209; Skip TPEx latest-only source=TPEX_OPENAPI_MAINBOARD_DAILY_CLOSE_QUOTES for historical target date 20240209; TPEx batch best rows=0; date=20240209 twse_rows=1236 tpex_rows=0 total_rows=1236 full_market_ok=False",
20240210,skipped_weekend,0,0,0,weekend,
20240211,skipped_weekend,0,0,0,weekend,
20240212,failed,1236,0,1236,"GET https://www.tpex.org.tw/web/stock/aftertrading/daily_close_quotes/stk_quote_result.php?l=zh-tw&o=csv&d=113/02/12&s=0,asc,0 -> status=200, chars=1391211; TPEX_OLD_DAILY_CSV: rejected response date 20260626; target date is 20240212; Skip TPEx latest-only source=TPEX_OPENAPI_MAINBOARD_DAILY_CLOSE_QUOTES for historical target date 20240212; TPEx batch best rows=0; date=20240212 twse_rows=1236 tpex_rows=0 total_rows=1236 full_market_ok=False",
20240213,failed,1236,0,1236,"GET https://www.tpex.org.tw/web/stock/aftertrading/daily_close_quotes/stk_quote_result.php?l=zh-tw&o=csv&d=113/02/13&s=0,asc,0 -> status=200, chars=1391211; TPEX_OLD_DAILY_CSV: rejected response date 20260626; target date is 20240213; Skip TPEx latest-only source=TPEX_OPENAPI_MAINBOARD_DAILY_CLOSE_QUOTES for historical target date 20240213; TPEx batch best rows=0; date=20240213 twse_rows=1236 tpex_rows=0 total_rows=1236 full_market_ok=False",
