date,status,twse_rows,tpex_rows,total_rows,reason,saved_files
20240501,failed,1236,0,1236,"GET https://www.tpex.org.tw/web/stock/aftertrading/daily_close_quotes/stk_quote_result.php?l=zh-tw&o=csv&d=113/05/01&s=0,asc,0 -> status=200, chars=1391211; TPEX_OLD_DAILY_CSV: rejected response date 20260626; target date is 20240501; Skip TPEx latest-only source=TPEX_OPENAPI_MAINBOARD_DAILY_CLOSE_QUOTES for historical target date 20240501; TPEx batch best rows=0; date=20240501 twse_rows=1236 tpex_rows=0 total_rows=1236 full_market_ok=False",
20240502,repaired,1131,827,1958,full_market_ok,data/daily_price/20240502.csv;data/daily_price/daily_price_20240502.csv
20240503,repaired,1130,826,1956,full_market_ok,data/daily_price/20240503.csv;data/daily_price/daily_price_20240503.csv
20240504,skipped_weekend,0,0,0,weekend,
20240505,skipped_weekend,0,0,0,weekend,
20240506,repaired,1135,826,1961,full_market_ok,data/daily_price/20240506.csv;data/daily_price/daily_price_20240506.csv
20240507,repaired,1130,822,1952,full_market_ok,data/daily_price/20240507.csv;data/daily_price/daily_price_20240507.csv
20240508,repaired,1128,827,1955,full_market_ok,data/daily_price/20240508.csv;data/daily_price/daily_price_20240508.csv
20240509,repaired,1135,826,1961,full_market_ok,data/daily_price/20240509.csv;data/daily_price/daily_price_20240509.csv
20240510,repaired,1136,831,1967,full_market_ok,data/daily_price/20240510.csv;data/daily_price/daily_price_20240510.csv
20240511,skipped_weekend,0,0,0,weekend,
20240512,skipped_weekend,0,0,0,weekend,
20240513,repaired,1135,828,1963,full_market_ok,data/daily_price/20240513.csv;data/daily_price/daily_price_20240513.csv
20240514,repaired,1136,826,1962,full_market_ok,data/daily_price/20240514.csv;data/daily_price/daily_price_20240514.csv
20240515,repaired,1138,829,1967,full_market_ok,data/daily_price/20240515.csv;data/daily_price/daily_price_20240515.csv
20240516,repaired,1142,828,1970,full_market_ok,data/daily_price/20240516.csv;data/daily_price/daily_price_20240516.csv
20240517,repaired,1139,828,1967,full_market_ok,data/daily_price/20240517.csv;data/daily_price/daily_price_20240517.csv
20240518,skipped_weekend,0,0,0,weekend,
20240519,skipped_weekend,0,0,0,weekend,
20240520,repaired,1144,821,1965,full_market_ok,data/daily_price/20240520.csv;data/daily_price/daily_price_20240520.csv
20240521,repaired,1139,823,1962,full_market_ok,data/daily_price/20240521.csv;data/daily_price/daily_price_20240521.csv
20240522,repaired,1144,829,1973,full_market_ok,data/daily_price/20240522.csv;data/daily_price/daily_price_20240522.csv
20240523,repaired,1144,829,1973,full_market_ok,data/daily_price/20240523.csv;data/daily_price/daily_price_20240523.csv
20240524,repaired,1137,826,1963,full_market_ok,data/daily_price/20240524.csv;data/daily_price/daily_price_20240524.csv
20240525,skipped_weekend,0,0,0,weekend,
20240526,skipped_weekend,0,0,0,weekend,
20240527,repaired,1141,828,1969,full_market_ok,data/daily_price/20240527.csv;data/daily_price/daily_price_20240527.csv
20240528,repaired,1142,828,1970,full_market_ok,data/daily_price/20240528.csv;data/daily_price/daily_price_20240528.csv
20240529,repaired,1138,829,1967,full_market_ok,data/daily_price/20240529.csv;data/daily_price/daily_price_20240529.csv
20240530,repaired,1142,824,1966,full_market_ok,data/daily_price/20240530.csv;data/daily_price/daily_price_20240530.csv
20240531,repaired,1144,828,1972,full_market_ok,data/daily_price/20240531.csv;data/daily_price/daily_price_20240531.csv
