generated_at,model_id,model_name_zh,parity_status,blocker,operation_module_status,daily_adapter_status,approved_for_daily,approval_status,operation_module_id,approval_version,presentation_allowed,operation_directive_level,pdf_integration_status,packet_integration_status,registry_pattern_count,registry_current_model_pattern_count,registry_best_pattern_id,registry_best_sample_size,registry_best_win_rate,registry_best_median_return,daily_adapter_row_count,daily_adapter_data_row_count,daily_adapter_sections,status_note_zh
2026-07-11 16:09:02 Asia/Taipei,volume_range_breakout_v2_low_position_volume_attack,低位放量攻擊,production_parity,v2 volume breakout operation adapter is ready,approved_operation_v1,ready_approved_operation_guidance,True,approved_for_daily_v1,volume_range_breakout_v2_low_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,True,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,volume_range_breakout_v2_low_position_volume_attack,26,80.7692,18.7857,8,3,"active_operation,confirmed_operation,confirmed_unranked_operation,pending_confirmation",v2 放量攻擊正式模型：模型條件加 close-only 確認就是買入 gate；TDCC、MA60/MA120、EMA23 距離僅能作分層或加分，不得作 hidden gate。
2026-07-11 16:09:02 Asia/Taipei,volume_range_breakout_v2_mid_position_momentum_attack,中位動能放量攻擊,production_parity,v2 volume breakout operation adapter is ready,approved_operation_v1,ready_empty_no_operation_rows,True,approved_for_daily_v1,volume_range_breakout_v2_mid_position_operation_v1,volume_range_breakout_v2_formal_operation_20260709,True,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,volume_range_breakout_v2_mid_position_momentum_attack,25,80.0000,14.6953,6,0,"active_operation,confirmed_operation,confirmed_unranked_operation,pending_confirmation",v2 放量攻擊正式模型：模型條件加 close-only 確認就是買入 gate；TDCC、MA60/MA120、EMA23 距離僅能作分層或加分，不得作 hidden gate。
2026-07-11 16:09:02 Asia/Taipei,volume_range_breakout_v2_high_position_volume_attack,高位階放量攻擊,production_parity,v2 volume breakout operation adapter is ready,approved_operation_v1,ready_approved_operation_guidance,True,approved_for_daily_v1,volume_range_breakout_v2_high_position_operation_v1,volume_range_breakout_v2_high_position_operation_20260710,True,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,volume_range_breakout_v2_high_position_volume_attack,231,62.3377,6.6055,6,1,"active_operation,confirmed_operation,confirmed_unranked_operation,pending_confirmation",v2 放量攻擊正式模型：模型條件加 close-only 確認就是買入 gate；TDCC、MA60/MA120、EMA23 距離僅能作分層或加分，不得作 hidden gate。
2026-07-11 16:09:02 Asia/Taipei,w_bottom_right_side,W底右側模型,production_parity,W-bottom operation adapter is ready,approved_operation_v2,ready_approved_operation_guidance,True,approved_for_daily_v2,w_bottom_early_entry_operation_v2,w_bottom_early_entry_operation_v2_20260629,True,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,smooth_core_mainstream_right_rebound_5_20_bull,31,58.0645,6.2374,86,86,"active_operation,confirmed_operation",W底右側模型已核准為 daily operation guidance，PDF 僅能消費 model-owned operation adapter。
2026-07-11 16:09:02 Asia/Taipei,neckline_volume_breakout_confirmation,W底頸線帶量突破確認模型,production_parity,neckline operation adapter is ready,approved_operation_v1,ready_empty_no_operation_rows,True,approved_for_daily_v1,neckline_strict_45_signal_90_score_v1,neckline_strict_45_signal_90_score_v1_20260629,True,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,low_position_le60_market_bull,51,63.8889,4.4597,4,0,"active_operation,confirmed_operation",W底頸線帶量突破確認模型已核准為 daily operation guidance，PDF 僅能消費 model-owned operation adapter。
2026-07-11 16:09:02 Asia/Taipei,price_pullback_23ema,23EMA回檔模型,production_parity,price_pullback_23ema operation adapter is ready,approved_operation_v1,ready_approved_operation_guidance,True,approved_for_daily_v1,price_pullback_23ema_prev20_breakout_stop_v1,price_pullback_23ema_operation_v1_20260703,True,approved_daily_operation_guidance,pdf_integrated_daily_adapter,packet_integrated_daily_adapter,1,1,v1_gate_return20_tdcc_high_obv,1160,66.03,,280,280,"active_operation,confirmed_operation",23EMA回檔模型已核准為 daily operation guidance，PDF 僅能消費 model-owned operation adapter。
2026-07-11 16:09:02 Asia/Taipei,hot_theme_pullback,熱門族群回檔模型,production_proxy,daily hot-theme labels are not fully backfilled as point-in-time model-layer fields,baseline_only_no_validated_operation_module,not_started,False,not_started,,,False,no_operation_directive,not_started,not_started,0,0,,0,,,0,0,,目前只有 research baseline/parameter 對照，沒有 validated operation module，不得產生買入、出場、停損或排序操作建議。
2026-07-11 16:09:02 Asia/Taipei,pullback_short_reclaim,回檔後短線轉強模型,production_proxy,pullback_entry_zone/right_side/ma20_reclaim setup flags are not fully backfilled,baseline_only_no_validated_operation_module,not_started,False,not_started,,,False,no_operation_directive,not_started,not_started,0,0,,0,,,0,0,,目前只有 research baseline/parameter 對照，沒有 validated operation module，不得產生買入、出場、停損或排序操作建議。
2026-07-11 16:09:02 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,proxy_only,"strong_revenue gate requires model-specific research matrix, contract update, exact parity, and promotion PR before formal use",baseline_only_no_validated_operation_module,not_started,False,not_started,,,False,no_operation_directive,not_started,not_started,0,0,,0,,,0,0,,目前只有 research baseline/parameter 對照，沒有 validated operation module，不得產生買入、出場、停損或排序操作建議。
2026-07-11 16:09:02 Asia/Taipei,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,production_proxy,daily specialty packet fields are not a single core build_specs condition and must be replayed from historical TDCC/technical proxies,baseline_only_no_validated_operation_module,not_started,False,not_started,,,False,no_operation_directive,not_started,not_started,0,0,,0,,,0,0,,目前只有 research baseline/parameter 對照，沒有 validated operation module，不得產生買入、出場、停損或排序操作建議。
2026-07-11 16:09:02 Asia/Taipei,tdcc_stealth_accumulation,TDCC潛伏吸籌模型,production_proxy,tdcc_price_phase is not fully available historically for every signal date,baseline_only_no_validated_operation_module,not_started,False,not_started,,,False,no_operation_directive,not_started,not_started,0,0,,0,,,0,0,,目前只有 research baseline/parameter 對照，沒有 validated operation module，不得產生買入、出場、停損或排序操作建議。
