section,tdcc_price_phase,sample_count,pct_of_total,tdcc_consecutive_up_weeks,signal_count,condition_name,mature_sample_d5,avg_ret_d5,avg_relative_ret_d5,mature_sample_d10,avg_ret_d10,avg_relative_ret_d10,mature_sample_d20,avg_ret_d20,avg_relative_ret_d20,avg_mfe_d10,avg_mae_d10
phase_distribution,insufficient_price_context,756.0,68.42,,,,,,,,,,,,,,
phase_distribution,tdcc_price_divergence,151.0,13.67,,,,,,,,,,,,,,
phase_distribution,tdcc_leading_price,110.0,9.95,,,,,,,,,,,,,,
phase_distribution,price_leading_tdcc,53.0,4.80,,,,,,,,,,,,,,
phase_distribution,overheated_after_tdcc,19.0,1.72,,,,,,,,,,,,,,
phase_distribution,tdcc_price_confirmed,11.0,1.00,,,,,,,,,,,,,,
phase_distribution,failed_after_tdcc,5.0,0.45,,,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,1,406.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,1,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,1,11.0,,,,,,,,,,,,
consecutive_weeks_x_phase,failed_after_tdcc,,,2,5.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,2,166.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,2,7.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,2,26.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,2,24.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,2,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,2,45.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,3,65.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,3,4.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,3,7.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,3,21.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,3,4.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,3,23.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,4,51.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,4,4.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,4,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,4,21.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,4,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,4,17.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,5,19.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,5,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,5,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,5,6.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,5,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,5,15.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,6,14.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,6,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,6,8.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,6,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,6,16.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,7,35.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,7,4.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,7,30.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,7,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,7,35.0,,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,125.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,tdcc_price_divergence,,,,120.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,98.0,all_thresholds_up,,,,,,,,,,,
