signal_date,rotation_model_id,rotation_model_name,theme,stock_count,volume_expansion_3x_count,volume_expansion_1_5x_count,volume_expansion_ratio,slow_inflow_count,slow_inflow_ratio,median_volume_ratio,median_return_15d,median_return_30d,leader_1,leader_2,leader_3,diffusion_status_zh,interpretation_zh,interpretation
20260605,group_fund_rotation_launch,族群資金發動型,造紙工業,7,3,6,0.4286,4,0.5714,2.3145,7.6167,5.8696,1906 寶隆,1904 正隆,1905 華紙,同步出量,同族群超過三分之一成員量比大於等於3，屬於資金同步發動觀察。,同族群超過三分之一成員量比大於等於3，屬於資金同步發動觀察。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,造紙工業,7,3,6,0.4286,4,0.5714,2.3145,7.6167,5.8696,1906 寶隆,1904 正隆,1905 華紙,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,91,4,1,3,0.25,4,1.0,2.7947,47.047,45.6062,9103 美德醫療-DR,9110 越南控-DR,9136 巨騰-DR,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,DR_or_foreign_listing,4,1,3,0.25,4,1.0,2.7947,47.047,45.6062,9103 美德醫療-DR,9110 越南控-DR,9136 巨騰-DR,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,其他,10,2,4,0.2,6,0.6,1.0875,8.658,3.8354,6585 鼎基,1342 八貫,9941 裕融,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,金融保險業,34,4,8,0.1176,24,0.7059,1.0962,6.3807,4.6133,2809 京城銀,2888 新光金,2883 凱基金,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,重電電網,9,1,6,0.1111,7,0.7778,1.8481,13.3238,12.5413,1503 士電,1513 中興電,1612 宏泰,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,化學工業,28,3,7,0.1071,10,0.3571,0.9488,4.0033,5.2167,1718 中纖,1708 東鹼,1714 和桐,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,其他電子業_待細分,38,4,10,0.1053,18,0.4737,0.8458,5.0859,7.3074,2461 光群雷,3043 科風,3018 隆銘綠能,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
20260605,group_slow_inflow_rotation,族群慢速資金進入型,電子零組件業_待細分,72,7,15,0.0972,36,0.5,0.7801,9.2336,8.5344,2483 百容,2440 太空梭,2457 飛宏,慢速進場,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。,15日量能相對前段放大且族群內多檔正報酬，屬於資金緩慢進場觀察；需等個股模型觸發才能成為進場依據。
