股票代號,股票名稱,目前產業,主流/非主流,主要族群1,族群2,族群3,備註
00922,國泰台灣領袖50,,,,,,
00923,群益台ESG低碳50,,,,,,
00924,復華S&P500成長,,,,,,
00926,凱基全球菁英55,,,,,,
00927,群益半導體收益,,,,,,
00928,中信上櫃ESG 30,,,,,,
00929,復華台灣科技優息,,,,,,
00930,永豐ESG低碳高息,,,,,,
00932,兆豐永續高息等權,,,,,,
00934,中信成長高股息,,,,,,
00935,野村臺灣新科技50,,,,,,
00936,台新永續高息中小,,,,,,
00938,凱基優選30,,,,,,
00939,統一台灣高息動能,,,,,,
00940,元大台灣價值高息,,,,,,
00941,中信上游半導體,,,,,,
00943,兆豐電子高息等權,,,,,,
00944,野村趨勢動能高息,,,,,,
00946,群益科技高息成長,,,,,,
00947,台新臺灣IC設計,,,,,,
00949,復華日本龍頭,,,,,,
00951,台新日本半導體,,,,,,
00952,凱基台灣AI50,,,,,,
00954,中信日本半導體,,,,,,
00955,中信日本商社,,,,,,
00956,中信日經高股息,,,,,,
00960,野村全球航運龍頭,,,,,,
00961,FT臺灣永續高息,,,,,,
00962,台新AI優息動能,,,,,,
00963,中信全球高股息,,,,,,
00964,中信亞太高股息,,,,,,
00965,元大航太防衛科技,,,,,,
00971,野村美國研發龍頭,,,,,,
00972,野村日本動能高息,,,,,,
009800,中信NASDAQ,,,,,,
009801,中信美國創新科技,,,,,,
009802,富邦旗艦50,,,,,,
009803,玉山市值動能50,,,,,,
009804,聯邦台精彩50,,,,,,
009805,新光美國電力基建,,,,,,
009806,台新標普500,,,,,,
009807,台新標普科技精選,,,,,,
009808,華南永昌優選50,,,,,,
009809,富邦淨零ESG50,,,,,,
009810,玉山全球藍籌100,,,,,,
009811,統一美國50,,,,,,
009812,野村日本東證,,,,,,
009813,貝萊德標普卓越50,,,,,,
009814,富邦標普500,,,,,,
009815,大華美國MAG7+,,,,,,
009816,凱基台灣TOP50,,,,,,
009817,國泰日本不動產,,,,,,
009818,華南永昌NASDAQxT,,,,,,
009819,中信數據及電力,,,,,,
009820,元大納斯達克精選,,,,,,
0200,兆豐半導體氣候N,,,,,,
1101,台泥,水泥工業,非主流,水泥工業,,,
1102,亞泥,,,,,,
1103,嘉泥,,,,,,
1104,環泥,,,,,,
1108,幸福,,,,,,
1109,信大,,,,,,
1110,東泥,,,,,,
1201,味全,,,,,,
1203,味王,,,,,,
1210,大成,食品工業,非主流,食品工業,,,
1213,大飲,,,,,,
1215,卜蜂,食品工業,非主流,食品工業,,,
1216,統一,,,,,,
1217,愛之味,,,,,,
1218,泰山,,,,,,
1219,福壽,,,,,,
1220,台榮,,,,,,
1225,福懋油,,,,,,
1227,佳格,,,,,,
1229,聯華,,,,,,
1231,聯華食,,,,,,
1232,大統益,,,,,,
1233,天仁,,,,,,
1234,黑松,,,,,,
1235,興泰,,,,,,
1236,宏亞,,,,,,
1240,茂生農經,,,,,,
1256,鮮活果汁-KY,,,,,,
1259,安心,,,,,,
1264,德麥,,,,,,
1268,漢來美食,,,,,,
1294,漢田生技,,,,,,
1295,生合,,,,,,
1301,台塑,塑膠工業,非主流,塑膠工業,,,
1303,南亞,塑膠工業,非主流,塑膠工業,,,
1304,台聚,塑膠工業,非主流,塑膠工業,,,
1305,華夏,塑膠工業,非主流,塑膠工業,,,
1307,三芳,,,,,,
1308,亞聚,,,,,,
1309,台達化,,,,,,
1310,台苯,,,,,,
1312,國喬,塑膠工業,非主流,塑膠工業,,,
1313,聯成,塑膠工業,非主流,塑膠工業,,,
1314,中石化,,,,,,
1315,達新,,,,,,
1316,上曜,建材營造,非主流,建材營造,,,
1319,東陽,汽車工業,,汽車工業,,,
1321,大洋,,,,,,
1323,永裕,,,,,,
1324,地球,,,,,,
1325,恆大,,,,,,
1326,台化,塑膠工業,非主流,塑膠工業,,,
1336,台翰,,,,,,
1337,再生-KY,,,,,,
1338,廣華-KY,,,,,,
1339,昭輝,汽車工業,,汽車工業,,,
1340,勝悅-KY,,,,,,
1341,富林-KY,,,,,,
1342,八貫,,,,,,
1402,遠東新,紡織纖維,非主流,紡織纖維,,,
1409,新纖,紡織纖維,非主流,紡織纖維,,,
1410,南染,,,,,,
1413,宏洲,,,,,,
1414,東和,,,,,,
1416,廣豐,,,,,,
1417,嘉裕,,,,,,
1418,東華,,,,,,
1419,新紡,,,,,,
1423,利華,,,,,,
1432,大魯閣,,,,,,
1434,福懋,紡織纖維,非主流,紡織纖維,,,
1435,中福,,,,,,
1436,華友聯,,,,,,
1437,勤益控,,,,,,
1438,三地開發,,,,,,
1439,雋揚,,,,,,
1440,南紡,紡織纖維,非主流,紡織纖維,,,
1441,大東,,,,,,
1442,名軒,,,,,,
1443,立益物流,,,,,,
1444,力麗,紡織纖維,非主流,紡織纖維,,,
1445,大宇,,,,,,
1446,宏和,,,,,,
1447,力鵬,紡織纖維,非主流,紡織纖維,,,
1449,佳和,紡織纖維,非主流,紡織纖維,,,
1451,年興,,,,,,
1452,宏益,,,,,,
1453,大將,,,,,,
1454,台富,,,,,,
1455,集盛,,,,,,
1456,怡華,,,,,,
1457,宜進,,,,,,
1459,聯發,,,,,,
1460,宏遠,,,,,,
1463,強盛新,,,,,,
1464,得力,,,,,,
1465,偉全,,,,,,
1466,聚隆,,,,,,
1467,南緯,,,,,,
1468,昶和,,,,,,
1470,大統新創,,,,,,
1471,首利,電子零組件業,,電子零組件業,,,
1472,三洋實業,,,,,,
1473,台南,,,,,,
1474,弘裕,,,,,,
1475,業旺,,,,,,
1476,儒鴻,紡織纖維,非主流,紡織纖維,,,
1477,聚陽,,,,,,
1503,士電,,主流,重電電網,,,user_authorized_seed_20260530
1504,東元,電機機械,,電機機械,,,
1506,正道,,,,,,
1512,瑞利,,,,,,
1513,中興電,電機機械,主流,重電電網,,,user_authorized_seed_20260530
1514,亞力,電機機械,主流,重電電網,,,user_authorized_seed_20260530
1515,力山,,,,,,
1516,川飛,,,,,,
1517,利奇,,,,,,
1519,華城,電機機械,主流,重電電網,,,user_authorized_seed_20260530
1521,大億,,,,,,
1522,堤維西,汽車工業,,汽車工業,,,
1524,耿鼎,汽車工業,,汽車工業,,,
1525,江申,,,,,,
1526,日馳,,,,,,
1527,鑽全,,,,,,
1528,恩德,電機機械,主流,重電電網,,,user_authorized_seed_20260530
1529,樂事綠能,,,,,,
1530,亞崴,電機機械,,電機機械,,,
1531,高林股,,,,,,
1532,勤美,,,,,,
1533,車王電,汽車工業,,汽車工業,,,
1535,中宇,,,,,,
1536,和大,汽車工業,主流,車用電子,,,user_authorized_seed_20260530
1537,廣隆,,,,,,
1538,正峰,,,,,,
1539,巨庭,,,,,,
1540,喬福,,,,,,
1541,錩泰,,,,,,
1558,伸興,,,,,,
1560,中砂,,主流,半導體設備_CoWoS,,,user_authorized_seed_20260530
1563,巧新,汽車工業,,汽車工業,,,
1565,精華,,,,,,
1568,倉佑,汽車工業,,汽車工業,,,
1569,濱川,,,,,,
1570,力肯,,,,,,
1580,新麥,,,,,,
1582,信錦,,,,,,
1583,程泰,,,,,,
1584,精剛,,,,,,
1586,和勤,,,,,,
1587,吉茂,汽車工業,,汽車工業,,,
1589,永冠-KY,,,,,,
1590,亞德客-KY,電機機械,主流,機器人,自動化,,user_authorized_seed_20260530;user_confirmed_robotics_theme
1591,駿吉-KY,,,,,,
1593,祺驊,,,,,,
1595,川寶,,,,,,
1597,直得,電機機械,主流,機器人自動化,,,user_authorized_seed_20260530
1598,岱宇,,,,,,
1599,宏佳騰,,,,,,
1603,華電,,,,,,
1604,聲寶,,,,,,
1605,華新,電器電纜,主流,重電電網,,,user_authorized_seed_20260530
1608,華榮,電器電纜,,電器電纜,,,
1609,大亞,電器電纜,主流,重電電網,,,user_authorized_seed_20260530
1611,中電,,,,,,
1612,宏泰,電器電纜,主流,重電電網,,,user_authorized_seed_20260530
1614,三洋電,,,,,,
1615,大山,,,,,,
1616,億泰,電器電纜,,電器電纜,,,
1617,榮星,,,,,,
1618,合機,電器電纜,主流,重電電網,,,user_authorized_seed_20260530
1623,大東電,,,,,,
1626,艾美特-KY,,,,,,
1702,南僑,,,,,,
1707,葡萄王,,,,,,
1708,東鹼,化學工業,非主流,化學工業,,,
1709,和益,,,,,,
1710,東聯,化學工業,非主流,化學工業,,,
1711,永光,化學工業,非主流,化學工業,,,
1712,興農,,,,,,
1713,國化,,,,,,
1714,和桐,化學工業,非主流,化學工業,,,
1717,長興,化學工業,非主流,化學工業,,,
1718,中纖,化學工業,非主流,化學工業,,,
1720,生達,,,,,,
1721,三晃,化學工業,非主流,化學工業,,,
1722,台肥,化學工業,非主流,化學工業,,,
1723,中碳,,,,,,
1725,元禎,,,,,,
1726,永記,,,,,,
1727,中華化,,,,,,
1730,花仙子,,,,,,
1731,美吾華,,,,,,
1732,毛寶,,,,,,
1733,五鼎,,,,,,
1734,杏輝,,,,,,
1735,日勝化,,,,,,
1736,喬山,,,,,,
1737,臺鹽,,,,,,
1742,台蠟,,,,,,
1752,南光,,,,,,
1760,寶齡富錦,,,,,,
1762,中化生,,,,,,
1773,勝一,化學工業,非主流,化學工業,,,
1776,展宇,,,,,,
1777,生泰,,,,,,
1781,合世,,,,,,
1783,和康生,,,,,,
1784,訊聯,,,,,,
1785,光洋科,,,,,,
1786,科妍,,,,,,
1788,杏昌,,,,,,
1789,神隆,生技醫療業,,生技醫療業,,,
1795,美時,,,,,,
1796,金穎生技,,,,,,
1799,易威,,,,,,
1802,台玻,玻璃陶瓷,主流,PCB_CCL_ABF材料,,,user_authorized_seed_20260530
1805,寶徠,,,,,,
1806,冠軍,,,,,,
1808,潤隆,建材營造,非主流,建材營造,,,
1809,中釉,,,,,,
1810,和成,玻璃陶瓷,非主流,玻璃陶瓷,,,
1813,寶利徠,,,,,,
1815,富喬,電子零組件業,主流,PCB_CCL_ABF材料,,,user_authorized_seed_20260530
1817,凱撒衛,,,,,,
1903,士紙,,,,,,
1904,正隆,造紙工業,,造紙工業,,,
1905,華紙,造紙工業,,造紙工業,,,
1906,寶隆,,,,,,
1907,永豐餘,,,,,,
1909,榮成,,,,,,
2002,中鋼,鋼鐵工業,非主流,鋼鐵工業,,,
2006,東和鋼鐵,鋼鐵工業,非主流,鋼鐵工業,,,
2007,燁興,,,,,,
2008,高興昌,,,,,,
2009,第一銅,鋼鐵工業,非主流,鋼鐵工業,,,
2010,春源,鋼鐵工業,非主流,鋼鐵工業,,,
2012,春雨,,,,,,
2013,中鋼構,,,,,,
2014,中鴻,鋼鐵工業,非主流,鋼鐵工業,,,
2015,豐興,,,,,,
2017,官田鋼,,,,,,
2020,美亞,,,,,,
2022,聚亨,,,,,,
2023,燁輝,,,,,,
2024,志聯,,,,,,
2025,千興,,,,,,
2027,大成鋼,鋼鐵工業,非主流,鋼鐵工業,,,
2028,威致,,,,,,
2029,盛餘,,,,,,
2030,彰源,,,,,,
2031,新光鋼,鋼鐵工業,非主流,鋼鐵工業,,,
2032,新鋼,,,,,,
2033,佳大,,,,,,
2034,允強,,,,,,
2035,唐榮,,,,,,
2038,海光,,,,,,
2049,上銀,電機機械,主流,機器人,自動化,,user_authorized_seed_20260530;user_confirmed_robotics_theme
2059,川湖,,,,,,
2061,風青,電器電纜,,電器電纜,,,
2062,橋椿,,,,,,
2063,世鎧,,,,,,
2064,晉椿,,,,,,
2065,世豐,,,,,,
2066,世德,,,,,,
2067,嘉鋼,,,,,,
2069,運錩,,,,,,
2070,精湛,,,,,,
2072,世紀風電,,,,,,
2073,雄順,,,,,,
2101,南港,橡膠工業,非主流,橡膠工業,,,
2102,泰豐,,,,,,
2103,台橡,橡膠工業,非主流,橡膠工業,,,
2104,國際中橡,,,,,,
2105,正新,橡膠工業,非主流,橡膠工業,,,
2106,建大,,,,,,
2107,厚生,,,,,,
2108,南帝,橡膠工業,非主流,橡膠工業,,,
2109,華豐,,,,,,
2114,鑫永銓,,,,,,
2115,六暉-KY,,,,,,
2201,裕隆,汽車工業,,汽車工業,,,
2204,中華,汽車工業,,汽車工業,,,
2206,三陽工業,汽車工業,,汽車工業,,,
2207,和泰車,汽車工業,,汽車工業,,,
2208,台船,航運業,非主流,航運業,,,
2211,長榮鋼,,,,,,
2221,大甲,,,,,,
2227,裕日車,,,,,,
2228,劍麟,,,,,,
2230,泰茂,,,,,,
2231,為升,,主流,車用電子,,,user_authorized_seed_20260530
2233,宇隆,,主流,機器人自動化,,,user_authorized_seed_20260530
2235,謚源,,,,,,
2236,百達-KY,,,,,,
2239,英利-KY,,,,,,
2241,艾姆勒,汽車工業,,汽車工業,,,
2243,宏旭-KY,汽車工業,,汽車工業,,,
2247,汎德永業,,,,,,
2248,華勝-KY,,,,,,
2250,IKKA-KY,,,,,,
2254,巨鎧精密-創,,,,,,
2258,鴻華先進-創,汽車工業,,汽車工業,,,
2301,光寶科,電腦及週邊設備業,,電腦及週邊設備業,,,
2302,麗正,半導體業,,半導體業,,,
2303,聯電,,,,,,
2305,全友,電腦及週邊設備業,,電腦及週邊設備業,,,
2308,台達電,,主流,電源_BBU,車用電子,,user_authorized_seed_20260530
2312,金寶,其他電子業,,其他電子業,,,
2313,華通,電子零組件業,主流,PCB_CCL_ABF材料,低軌衛星,軍工無人機,user_authorized_seed_20260530
2314,台揚,,主流,低軌衛星,,,user_authorized_seed_20260530
2316,楠梓電,,,,,,
2317,鴻海,其他電子業,主流,AI伺服器,,,user_authorized_seed_20260530
2321,東訊,,,,,,
2323,中環,光電業,,光電業,,,
2324,仁寶,電腦及週邊設備業,,電腦及週邊設備業,,,
2327,國巨,,主流,被動元件,,,user_authorized_seed_20260530
2328,廣宇,電子零組件業,,電子零組件業,,,
2329,華泰,半導體業,,半導體業,,,
2330,台積電,半導體業,,半導體業,,,
2331,精英,電腦及週邊設備業,,電腦及週邊設備業,,,
2332,友訊,通信網路業,,通信網路業,,,
2337,旺宏,半導體業,,半導體業,,,
2338,光罩,半導體業,,半導體業,,,
2340,台亞,半導體業,,半導體業,,,
2342,茂矽,半導體業,,半導體業,,,
2344,華邦電,semiconductor,主流,記憶體儲存,DRAM and flash,,user_authorized_seed_20260530
2345,智邦,通信網路業,主流,CPO光通訊,網通交換器,,user_authorized_seed_20260530
2347,聯強,電子通路業,,電子通路業,,,
2348,海悅,,,,,,
2349,錸德,光電業,,光電業,,,
2351,順德,,,,,,
2352,佳世達,電腦及週邊設備業,,電腦及週邊設備業,,,
2353,宏碁,電腦及週邊設備業,,電腦及週邊設備業,,,
2354,鴻準,其他電子業,主流,散熱液冷,,,user_authorized_seed_20260530
2355,敬鵬,PCB,主流,PCB/CCL,PCB,,
2356,英業達,電腦及週邊設備業,主流,AI伺服器,,,user_authorized_seed_20260530
2357,華碩,電腦及週邊設備業,,電腦及週邊設備業,,,
2359,所羅門,其他電子業,主流,機器人自動化,,,user_authorized_seed_20260530
2360,致茂,其他電子業,,其他電子業,,,
2362,藍天,電腦及週邊設備業,,電腦及週邊設備業,,,
2363,矽統,半導體業,,半導體業,,,
2364,倫飛,,,,,,
2365,昆盈,電腦及週邊設備業,,電腦及週邊設備業,,,
2367,燿華,電子零組件業,主流,PCB_CCL_ABF材料,低軌衛星,,user_authorized_seed_20260530
2368,金像電,電子零組件業,主流,PCB_CCL_ABF材料,網通交換器,車用電子,user_authorized_seed_20260530
2369,菱生,半導體業,,半導體業,,,
2371,大同,電機機械,,電機機械,,,
2373,震旦行,,,,,,
2374,佳能,光電業,主流,機器人,機器視覺,,user_confirmed_robotics_theme
2375,凱美,electronic components,主流,被動元件,capacitors,,user_authorized_seed_20260530
2376,技嘉,電腦及週邊設備業,,電腦及週邊設備業,,,
2377,微星,電腦及週邊設備業,,電腦及週邊設備業,,,
2379,瑞昱,半導體業,,半導體業,,,
2380,虹光,,,,,,
2382,廣達,電腦及週邊設備業,主流,AI伺服器,,,user_authorized_seed_20260530
2383,台光電,電子零組件業,主流,PCB_CCL_ABF材料,網通交換器,,user_authorized_seed_20260530
2385,群光,電子零組件業,,電子零組件業,,,
2387,精元,,,,,,
2388,威盛,半導體業,,半導體業,,,
2390,云辰,其他電子業,,其他電子業,,,
2392,正崴,電子零組件業,,電子零組件業,,,
2393,億光,,,,,,
2395,研華,電腦及週邊設備業,,電腦及週邊設備業,,,
2397,友通,,,,,,
2399,映泰,,,,,,
2401,凌陽,,,,,,
2402,毅嘉,電子零組件業,,電子零組件業,,,
2404,漢唐,其他電子業,主流,半導體設備_CoWoS,,,user_authorized_seed_20260530
2405,輔信,電腦及週邊設備業,,電腦及週邊設備業,,,
2406,國碩,光電業,,光電業,,,
2408,南亞科,半導體業,主流,記憶體儲存,,,user_authorized_seed_20260530
2409,友達,光電業,,光電業,,,
2412,中華電,通信網路業,,通信網路業,,,
2413,環科,電子零組件業,,電子零組件業,,,
2414,精技,,,,,,
2415,錩新,,,,,,
2417,圓剛,電腦及週邊設備業,主流,機器人自動化,軍工無人機,,user_authorized_seed_20260530
2419,仲琦,通信網路業,,通信網路業,,,
2420,新巨,,,,,,
2421,建準,電子零組件業,主流,散熱液冷,,,user_authorized_seed_20260530
2423,固緯,,,,,,
2424,隴華,,,,,,
2425,承啟,,,,,,
2426,鼎元,,,,,,
2427,三商電,,,,,,
2428,興勤,電子零組件業,主流,被動元件,,,user_authorized_seed_20260530
2429,銘旺科,,,,,,
2430,燦坤,,,,,,
2431,聯昌,,,,,,
2432,倚天酷��-創,,,,,,
2433,互盛電,,,,,,
2434,統懋,,,,,,
2436,偉詮電,半導體業,,半導體業,,,
2438,翔耀,光電業,,光電業,,,
2439,美律,通信網路業,,通信網路業,,,
2440,太空梭,,,,,,
2441,超豐,半導體業,,半導體業,,,
2442,新美齊,建材營造,非主流,建材營造,,,
2444,兆勁,,,,,,
2449,京元電子,半導體業,,半導體業,,,
2450,神腦,,,,,,
2451,創見,半導體業,主流,記憶體儲存,,,user_authorized_seed_20260530
2453,凌群,資訊服務業,,資訊服務業,,,
2454,聯發科,半導體業,,半導體業,,,
2455,全新,通信網路業,主流,低軌衛星,CPO光通訊,,user_authorized_seed_20260530
2456,奇力新,,主流,被動元件,,,user_authorized_seed_20260530
2457,飛宏,電子零組件業,,電子零組件業,,,
2458,義隆,,,,,,
2459,敦吉,,,,,,
2460,建通,,,,,,
2461,光群雷,,,,,,
2462,良得電,,,,,,
2464,盟立,其他電子業,主流,機器人自動化,,,user_authorized_seed_20260530
2465,麗臺,電腦及週邊設備業,,電腦及週邊設備業,,,
2466,冠西電,,,,,,
2467,志聖,電子零組件業,主流,半導體設備_CoWoS,,,user_authorized_seed_20260530
2468,華經,,,,,,
2471,資通,,,,,,
2472,立隆電,,主流,被動元件,,,user_authorized_seed_20260530
2474,可成,其他電子業,,其他電子業,,,
2476,鉅祥,電子零組件業,,電子零組件業,,,
2477,美隆電,,,,,,
2478,大毅,,主流,被動元件,,,user_authorized_seed_20260530
2480,敦陽科,,,,,,
2481,強茂,semiconductor,主流,power discrete/diodes,diodes,,
2482,連宇,,,,,,
2483,百容,,,,,,
2484,希華,,主流,被動元件,,,user_authorized_seed_20260530
2485,兆赫,通信網路業,,通信網路業,,,
2486,一詮,光電業,,光電業,,,
2488,漢平,,,,,,
2489,瑞軒,,,,,,
2491,吉祥全,光電業,,光電業,,,
2492,華新科,electronic components,主流,被動元件,MLCC,,user_authorized_seed_20260530
2493,揚博,,,,,,
2495,普安,電腦及週邊設備業,,電腦及週邊設備業,,,
2496,卓越,,,,,,
2497,怡利電,汽車工業,,汽車工業,,,
2498,宏達電,通信網路業,,通信網路業,,,
2501,國建,建材營造,非主流,建材營造,,,
2504,國產,,,,,,
2505,國揚,,,,,,
2506,太設,,,,,,
2509,全坤建,,,,,,
2511,太子,,,,,,
2514,龍邦,,,,,,
2515,中工,建材營造,非主流,建材營造,,,
2516,新建,,,,,,
2520,冠德,建材營造,非主流,建材營造,,,
2524,京城,,,,,,
2527,宏璟,,,,,,
2528,皇普,,,,,,
2530,華建,,,,,,
2534,宏盛,,,,,,
2535,達欣工,,,,,,
2536,宏普,,,,,,
2537,聯上發,,,,,,
2538,基泰,,,,,,
2539,櫻花建,,,,,,
2540,愛山林,建材營造,非主流,建材營造,,,
2542,興富發,建材營造,非主流,建材營造,,,
2543,皇昌,,,,,,
2545,皇翔,,,,,,
2546,根基,,,,,,
2547,日勝生,,,,,,
2548,華固,建材營造,非主流,建材營造,,,
2596,綠意,,,,,,
2597,潤弘,建材營造,非主流,建材營造,,,
2601,益航,貿易百貨,非主流,貿易百貨,,,
2603,長榮,航運業,非主流,航運業,,,
2605,新興,,,,,,
2606,裕民,航運業,非主流,航運業,,,
2607,榮運,,,,,,
2608,嘉里大榮,,,,,,
2609,陽明,,,,,,
2610,華航,航運業,非主流,航運業,,,
2611,志信,,,,,,
2612,中航,,,,,,
2613,中櫃,,,,,,
2614,東森,,,,,,
2615,萬海,航運業,非主流,航運業,,,
2616,山隆,,,,,,
2617,台航,,,,,,
2618,長榮航,航運業,非主流,航運業,,,
2630,亞航,,,,,,
2633,台灣高鐵,,,,,,
2634,漢翔,航運業,主流,軍工無人機,,,user_authorized_seed_20260530
2636,台驊控股,,,,,,
2637,慧洋-KY,航運業,非主流,航運業,,,
2640,大車隊,,,,,,
2641,正德,,,,,,
2642,宅配通,,,,,,
2643,捷迅,,,,,,
2645,長榮航太,航運業,非主流,航運業,,,
2646,星宇航空,航運業,非主流,航運業,,,
2701,萬企,,,,,,
2702,華園,,,,,,
2704,國賓,,,,,,
2705,六福,,,,,,
2706,第一店,,,,,,
2707,晶華,,,,,,
2712,遠雄來,,,,,,
2718,全心投控,,,,,,
2719,燦星旅,,,,,,
2722,夏都,,,,,,
2723,美食-KY,,,,,,
2724,藝舍-KY,,,,,,
2726,雅茗-KY,,,,,,
2727,王品,,,,,,
2729,瓦城,,,,,,
2731,雄獅,觀光餐旅,非主流,觀光餐旅,,,
2732,六角,,,,,,
2734,易飛網,,,,,,
2736,富野,,,,,,
2739,寒舍,,,,,,
2740,華軒,,,,,,
2743,山富,,,,,,
2745,五福,,,,,,
2748,雲品,,,,,,
2751,王座,,,,,,
2752,豆府,,,,,,
2753,八方雲集,,,,,,
2754,亞洲藏壽司,,,,,,
2755,揚秦,,,,,,
2756,聯發國際,,,,,,
2762,世界健身-KY,,,,,,
2801,彰銀,,,,,,
2809,京城銀,,,,,,
2812,台中銀,金融保險業,非主流,金融保險業,,,
2816,旺旺保,,,,,,
2820,華票,金融保險業,非主流,金融保險業,,,
2832,台產,,,,,,
2834,臺企銀,金融保險業,非主流,金融保險業,,,
2836,高雄銀,,,,,,
2838,聯邦銀,金融保險業,非主流,金融保險業,,,
2845,遠東銀,金融保險業,非主流,金融保險業,,,
2849,安泰銀,,,,,,
2850,新產,金融保險業,非主流,金融保險業,,,
2851,中再保,金融保險業,非主流,金融保險業,,,
2852,第一保,,,,,,
2855,統一證,,,,,,
2867,三商壽,金融保險業,非主流,金融保險業,,,
2880,華南金,金融保險業,非主流,金融保險業,,,
2881,富邦金,金融保險業,非主流,金融保險業,,,
2882,國泰金,金融保險業,非主流,金融保險業,,,
2883,凱基金,金融保險業,非主流,金融保險業,,,
2884,玉山金,金融保險業,非主流,金融保險業,,,
2885,元大金,金融保險業,非主流,金融保險業,,,
2886,兆豐金,金融保險業,非主流,金融保險業,,,
2887,台新新光金,金融保險業,非主流,金融保險業,,,
2888,新光金,,,,,,
2889,國票金,金融保險業,非主流,金融保險業,,,
2890,永豐金,金融保險業,非主流,金融保險業,,,
2891,中信金,金融保險業,非主流,金融保險業,,,
2892,第一金,金融保險業,非主流,金融保險業,,,
2897,王道銀行,金融保險業,非主流,金融保險業,,,
2901,欣欣,,,,,,
2903,遠百,,,,,,
2904,匯僑,,,,,,
2905,三商,,,,,,
2906,高林,,,,,,
2908,特力,,,,,,
2910,統領,,,,,,
2911,麗嬰房,,,,,,
2912,統一超,,,,,,
2913,農林,,,,,,
2915,潤泰全,,,,,,
2916,滿心,,,,,,
2923,鼎固-KY,,,,,,
2924,宏太-KY,,,,,,
2926,誠品生活,,,,,,
2929,淘帝-KY,,,,,,
2937,集雅社,,,,,,
2939,永邑-KY,,,,,,
2941,米斯特,,,,,,
2945,三商家購,,,,,,
2947,振宇五金,,,,,,
2948,寶陞,,,,,,
2949,欣新網,,,,,,
3002,歐格,,,,,,
3003,健和興,電子零組件業,,電子零組件業,,,
