audit_id,record_type,record_id,period,source_role,official_url,scope_evidence,taxonomy_evidence,availability_evidence,revision_evidence,raw_payload_sha256,member_count,pit_eligible,formal_model_use_allowed,audit_status,blocker
financial_statement_historical_pit_source_audit_v4,source_surface,mops_xbrl_bulk_index,2013Q1,quarter_archive_index,https://mopsov.twse.com.tw/mops/web/ajax_t203sb02,archive filenames encode industry schema and cr/ir report scope,industry-specific taxonomy is referenced by each instance,no company filed_at,one current archive link per quarter with no version list,,,False,False,usable_for_payload_discovery_only,exact_initial_company_filed_at_and_complete_revision_payload_history_unavailable
financial_statement_historical_pit_source_audit_v4,source_surface,mops_xbrl_bulk_download,2013Q1,quarter_archive_payload,https://mopsov.twse.com.tw/server-java/FileDownLoad,instance filenames encode ci/basi/bd/fh/ins/mim and cr/ir,schemaRef proves the taxonomy regime used by each instance,ZIP member timestamps are later archive rebuild times and are not company filed_at,archive contains one visible current instance per company scope and not prior payload versions,,,False,False,usable_for_latest_historical_payload_only,archive_rebuild_time_cannot_be_used_as_availability_and_prior_revisions_are_not_preserved
financial_statement_historical_pit_source_audit_v4,source_surface,mops_xbrl_single_company,2009Q4,single_company_current_instance,https://mopsov.twse.com.tw/mops/web/ajax_t203sb01,rows explicitly label consolidated or individual,download resolves to the same period taxonomy family,no company filed_at,one current download per company period scope and no revision list,,,False,False,usable_for_scope_cross_check_only,exact_initial_company_filed_at_and_prior_revision_payloads_unavailable
financial_statement_historical_pit_source_audit_v4,source_surface,mops_financial_report_announcement,2013Q1,financial_report_announcement,https://mops.twse.com.tw/mops/api/t163sb01,company market and consolidated or individual report scope are displayed,report links resolve to the applicable XBRL taxonomy,the response does not expose initial filed_at and its query datetime is not a source version id,only current report content and correction status are visible while prior full payloads are absent,,,False,False,usable_for_market_and_scope_cross_check_only,exact_initial_company_filed_at_unavailable
financial_statement_historical_pit_source_audit_v4,source_surface,mops_financial_report_correction,2013Q1,financial_report_revision_event,https://mopsov.twse.com.tw/mops/web/ajax_t56sb31_q1,correction rows identify company report type and correction description,no standalone taxonomy payload is supplied by the correction table,correction detail exposes date and SKEY but no guaranteed revision time,each SKEY may link selected correction or replacement pages but complete before and after XBRL payload versions are not supplied,,,False,False,usable_for_revision_event_and_selected_page_audit_only,initial_filed_at_and_complete_revision_payload_lineage_unavailable
financial_statement_historical_pit_source_audit_v4,source_surface,mops_historical_material_information,2013Q1,historical_material_information,https://mops.twse.com.tw/mops/api/t05st01,announcement text may identify period and consolidated or individual scope but historical templates are not uniform,no standalone taxonomy payload is supplied by material information,official announcement date plus time provide second-level public availability for fields actually included in that announcement,initial and correction announcements may expose values and state that iXBRL was reuploaded but do not provide a complete full-statement payload lineage,,,False,False,usable_for_announcement_and_metric_revision_cross_check_only,announcement_field_coverage_and_complete_revision_payload_lineage_unavailable
financial_statement_historical_pit_source_audit_v4,source_surface,mops_financial_report_document_index,2013Q1,financial_report_pdf_upload_index,https://mopsov.twse.com.tw/mops/web/ajax_t57sb01_q1,rows identify company period language and consolidated or individual report type,PDF report type is scope evidence but not an XBRL taxonomy registry,the index exposes an official PDF upload timestamp to the second for each visible report row,the public interface exposes one canonical filename plus the latest correction indicator and does not expose selectable before and after full PDF payload versions,,,False,False,usable_for_visible_pdf_upload_time_only,current_canonical_payload_cannot_be_bound_to_every_revision_timestamp
financial_statement_historical_pit_source_audit_v4,source_surface,twse_financial_report_correction_guidance,current_process_guidance,official_correction_process_guidance,https://www.twse.com.tw/staticFiles/news/event/ff80808167ee6fdf0169be45e16c09db.pdf,the guidance separately describes formatted financial-statement and electronic-book correction workflows,not a taxonomy source,not a company availability source,correct formatted data are resubmitted while an uploaded electronic book is deleted before a new electronic book is uploaded; no public immutable before and after payload archive is specified,,,False,False,usable_for_public_revision_process_contract_only,guidance_describes_replace_workflow_but_not_retrievable_prior_payloads
financial_statement_historical_pit_source_audit_v4,source_surface,mops_taxonomy_download,2013Q1,taxonomy_registry,https://mopsov.twse.com.tw/mops/web/ajax_t203sb03,industry and report-scope taxonomy families are separate,taxonomy packages define regime-specific concepts and must not be mixed across industries,no company availability semantics,not a filing revision source,,,False,False,usable_for_taxonomy_mapping_only,not_an_availability_or_revision_source
financial_statement_historical_pit_source_audit_v4,source_surface,twse_openapi_financial_statement_current_snapshot,current_snapshot_only,current_financial_statement_snapshot_api,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_ci,listed and OTC markets plus six industry schemas are separate,endpoint suffix identifies market and industry schema but is not historical taxonomy lineage,出表日期 is a dataset output date and not company filed_at,one current table is visible with no company revision id or version selector,,,False,False,current_snapshot_only_not_historical_pit,no_company_filed_at_and_no_revision_version_selector
