abm_rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,abm_score,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,accumulation_label,tracking_priority,trigger_to_watch,interpretation
1,2376,技嘉,semiconductor equipment/materials,mainstream_follow_through,medium,92.00,205.00,4,True,True,tdcc_leading_price,quiet_accumulation,1.83,4.78,0.54,1.55,0.70,10.00,28.39,10.00,4.00,0.00,2.39,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
2,6612,奈米醫材,biotechnology,mainstream_leader,high,97.00,265.00,10,True,True,tdcc_leading_price,quiet_accumulation,1.27,1.27,0.80,1.34,1.18,10.00,170.15,10.00,17.00,0.00,0.15,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
3,1463,強盛新,traditional industries,mainstream_leader,high,97.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,1.72,2.01,1.80,1.92,1.20,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
4,6245,立端,other electronics,mainstream_leader,high,96.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,1.54,2.39,0.97,4.00,0.51,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
5,6423,億而得,other electronics,mainstream_leader,high,95.00,275.00,11,True,True,tdcc_leading_price,quiet_accumulation,9.05,6.50,2.41,4.14,0.61,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
6,2412,中華電,networking,mainstream_leader,high,95.00,205.00,4,True,True,tdcc_leading_price,quiet_accumulation,0.00,7.01,1.63,2.95,0.53,10.00,29.80,10.00,3.00,0.00,-0.20,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
7,1437,勤益控,traditional industries,mainstream_leader,high,95.00,165.00,3,False,True,tdcc_leading_price,quiet_accumulation,0.15,1.09,0.70,0.85,1.11,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
8,1313,聯成,traditional industries,mainstream_leader,high,92.00,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,-1.22,0.00,0.22,1.08,0.53,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
9,1459,聯發,traditional industries,mainstream_leader,high,92.00,215.00,5,True,True,tdcc_leading_price,quiet_accumulation,1.27,2.57,0.26,2.47,0.13,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
10,6101,寬魚國際,other electronics,mainstream_leader,high,92.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,-1.17,0.66,0.93,0.05,0.28,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
