abm_rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,abm_score,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,accumulation_label,tracking_priority,trigger_to_watch,interpretation
11,2323,中環,consumer electronics,mainstream_leader,high,92.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,0.47,-0.92,0.06,0.44,0.74,10.00,41.11,10.00,5.00,0.00,5.11,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
12,2603,長榮,traditional industries,mainstream_leader,high,92.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,0.21,4.52,2.89,2.66,0.55,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
13,2397,友通,other electronics,mainstream_leader,high,90.00,155.00,2,False,True,tdcc_leading_price,quiet_accumulation,3.84,-2.51,1.70,1.68,0.47,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
14,7767,仁大資訊,other electronics,mainstream_leader,high,100.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,0.97,3.09,2.45,2.27,0.49,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
15,1734,杏輝,biotechnology,mainstream_leader,high,100.00,205.00,4,True,True,tdcc_leading_price,quiet_accumulation,1.90,4.39,0.74,2.59,0.80,10.00,170.15,10.00,17.00,0.00,0.15,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
16,2371,大同,other electronics,mainstream_leader,high,100.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,-2.86,-1.20,1.28,1.47,0.72,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
17,2352,佳世達,semiconductor equipment/materials,mainstream_follow_through,medium,90.00,205.00,4,True,True,tdcc_leading_price,quiet_accumulation,0.00,3.57,-2.31,0.53,0.50,10.00,28.39,10.00,4.00,0.00,2.39,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
18,3705,永信,other electronics,mainstream_leader,high,99.00,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,-1.06,0.00,-2.31,-0.30,0.91,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
19,4995,晶達,other electronics,mainstream_leader,high,96.00,255.00,9,True,True,tdcc_leading_price,quiet_accumulation,-1.39,-0.40,-1.51,-1.21,0.32,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
20,2474,可成,other electronics,mainstream_leader,high,96.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,-0.96,-0.48,-1.08,-0.57,0.69,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
21,2881,富邦金,finance,mainstream_leader,high,95.00,265.00,10,True,True,tdcc_leading_price,quiet_accumulation,-0.99,6.01,-1.30,0.38,0.48,10.00,50.10,10.00,5.00,0.00,0.10,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
22,4142,國光生,biotechnology,mainstream_leader,high,95.00,215.00,8,False,True,tdcc_leading_price,quiet_accumulation,0.85,0.00,-0.02,1.56,1.20,10.00,170.15,10.00,17.00,0.00,0.15,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
23,3666,光耀,other electronics,mainstream_leader,high,92.00,315.00,15,True,True,tdcc_leading_price,quiet_accumulation,0.80,-0.20,-1.11,0.59,0.22,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
24,5608,四維航,traditional industries,mainstream_leader,high,92.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,0.59,0.59,-1.72,0.34,0.55,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
25,4961,天鈺,other electronics,mainstream_leader,high,91.00,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,-0.28,9.39,2.33,3.81,0.42,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
26,4927,泰鼎-KY,other electronics,mainstream_leader,high,91.00,225.00,6,True,True,tdcc_leading_price,quiet_accumulation,0.69,8.03,-0.09,3.19,0.68,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
27,5523,豐謙,traditional industries,mainstream_leader,high,90.00,375.00,21,True,True,tdcc_leading_price,quiet_accumulation,0.00,0.00,-1.91,0.00,0.19,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
28,1474,弘裕,traditional industries,mainstream_leader,high,90.00,275.00,11,True,True,tdcc_leading_price,quiet_accumulation,-0.50,0.00,-1.81,0.30,0.79,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
29,2414,精技,other electronics,mainstream_leader,high,90.00,255.00,9,True,True,tdcc_leading_price,quiet_accumulation,0.57,1.54,-1.74,0.69,0.42,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
30,1310,台苯,traditional industries,mainstream_leader,high,90.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,-1.44,2.42,-0.25,1.96,0.69,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
31,2731,雄獅,traditional industries,mainstream_leader,high,90.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,0.00,-0.35,-0.54,0.70,0.72,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
32,1535,中宇,other electronics,mainstream_leader,high,90.00,225.00,6,True,True,tdcc_leading_price,quiet_accumulation,1.56,-0.87,-1.42,0.41,0.80,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
33,2753,八方雲集,traditional industries,mainstream_leader,high,90.00,215.00,5,True,True,tdcc_leading_price,quiet_accumulation,0.84,0.56,-1.19,0.38,0.31,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
34,1735,日勝化,biotechnology,mainstream_leader,high,90.00,205.00,4,True,True,tdcc_leading_price,quiet_accumulation,2.01,-2.87,-1.06,0.01,0.30,10.00,170.15,10.00,17.00,0.00,0.15,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
35,6264,富裔,other electronics,mainstream_leader,high,89.00,225.00,6,True,True,tdcc_leading_price,quiet_accumulation,0.00,-0.66,-1.75,-0.21,0.98,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
36,6026,福邦證,finance,mainstream_leader,high,87.00,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,2.26,6.02,2.36,3.39,0.56,10.00,50.10,10.00,5.00,0.00,0.10,prime_pre_move,B_confirm_needed,量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
37,5511,德昌,traditional industries,mainstream_leader,high,87.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,0.57,-1.96,-1.48,0.24,1.02,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
38,2605,新興,traditional industries,mainstream_leader,high,87.00,205.00,4,True,True,tdcc_leading_price,quiet_accumulation,-1.75,6.10,-1.62,1.03,0.59,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
39,4915,致伸,other electronics,mainstream_leader,high,87.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,0.31,7.19,0.91,2.55,0.38,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
40,6655,科定,other electronics,mainstream_leader,high,87.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,1.22,8.26,0.16,3.32,0.14,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
41,2926,誠品生活,biotechnology,mainstream_leader,high,86.00,305.00,14,True,True,tdcc_leading_price,quiet_accumulation,0.33,0.33,-1.58,-0.10,0.23,10.00,170.15,10.00,17.00,0.00,0.15,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
42,1810,和成,traditional industries,mainstream_leader,high,86.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,1.05,-7.53,-1.25,-0.44,0.43,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
43,3373,熱映,other electronics,mainstream_leader,high,86.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,0.31,-3.90,-1.91,-0.59,0.52,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
44,2613,中櫃,traditional industries,mainstream_leader,high,86.00,165.00,3,False,True,tdcc_leading_price,quiet_accumulation,-0.45,-3.69,-2.31,-0.93,0.38,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
45,4167,松瑞藥,biotechnology,mainstream_leader,high,85.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,-0.51,-3.72,-0.34,0.43,0.89,10.00,170.15,10.00,17.00,0.00,0.15,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
46,6005,群益證,finance,mainstream_leader,high,85.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,2.24,2.89,-1.04,0.27,0.92,10.00,50.10,10.00,5.00,0.00,0.10,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
47,2230,泰茂,traditional industries,mainstream_leader,high,85.00,165.00,3,False,True,tdcc_leading_price,quiet_accumulation,2.28,-4.26,-0.79,2.24,1.29,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；量縮守住 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
48,2618,長榮航,traditional industries,mainstream_leader,high,83.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,-0.12,-1.75,-1.83,-0.30,1.13,10.00,364.89,10.00,40.00,0.00,-0.11,prime_pre_move,B_confirm_needed,相對 benchmark 轉正；站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
49,6276,安鈦克,other electronics,mainstream_leader,high,83.00,185.00,2,True,True,tdcc_leading_price,quiet_accumulation,-1.75,-2.72,2.06,-1.61,1.22,10.00,568.73,10.00,68.00,0.00,0.73,prime_pre_move,B_confirm_needed,站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
50,2329,華泰,semiconductor,mainstream_leader,high,83.00,165.00,3,False,True,tdcc_leading_price,quiet_accumulation,3.50,1.37,2.90,3.10,0.91,10.00,139.70,10.00,18.00,0.00,1.70,prime_pre_move,B_confirm_needed,量縮守住 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
