exclusion_id,lineage_id,field_name,artifact_path,module,classification,evidence,contract_sha256,last_migration_id,approval_reference,required_validation_commands,notes
watch_rank_dispatch_guard,advisory_volume_breakout_rank__volume_watch_current,advisory_volume_breakout_rank,output/latest/volume_breakout_watch_latest.csv,scripts/build_daily_candidate_model_layer.py,forbidden_field_guard,VOLUME_V2_FORMAL_DISPATCH_FORBIDDEN_FIELDS,651339d2605dc6bfb91dbc717c4eed034a13f6e6341e3003efe20850f277f983,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Dispatcher names the field only to reject advisory input.
watch_score_dispatch_guard,advisory_volume_breakout_score__volume_watch_current,advisory_volume_breakout_score,output/latest/volume_breakout_watch_latest.csv,scripts/build_daily_candidate_model_layer.py,forbidden_field_guard,VOLUME_V2_FORMAL_DISPATCH_FORBIDDEN_FIELDS,eb63390f57ff2373f1a455b8f2eb483646d5d7683ae2611ea746272440817ced,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Dispatcher names the field only to reject advisory input.
formal_final_rank_w_bottom_scope,final_rank_score__formal_report_current,final_rank_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_daily_w_bottom_operation_sections.py,model_scope_mismatch,W_bottom_model_filter_and_separate_adapter,c2b9e01a235cebe8f4bf3ba69dd1ec73e5dabb7a639cf38bf48b99292646e0bd,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,W-bottom code does not consume volume-v2 final rank.
formal_final_rank_operation_validator_boundary,final_rank_score__formal_report_current,final_rank_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/validate_daily_volume_breakout_operation_section.py,schema_or_renderer_guard,operation_adapter_and_renderer_schema_validation,e6109cd89687c0c9e2e485e61c0c08cacbf6294687d9dab34deb56c865d2cb88,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Literal validates the operation output boundary rather than reading the formal report field.
raw_model_rank_candidate_validator,model_rank__formal_raw_current,model_rank,output/latest/daily_candidate_model_signals_latest.csv,scripts/validate_daily_candidate_model_layer.py,no_direct_field_read,raw_artifact_used_for_date_parity_only,4d10371b31bb7e30fa871a1d47e0fe957beafe08a408d6eec2794320848afda3,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,model_rank validation uses the report artifact.
report_model_rank_w_bottom_scope,model_rank__formal_report_current,model_rank,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_daily_w_bottom_operation_sections.py,model_scope_mismatch,W_bottom_model_filter_and_separate_adapter,2553f9d54895116262eb6027afda4e89954e9aca3f70a6291144ade913640984,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,W-bottom code does not consume volume-v2 model rank.
report_model_rank_tdcc_scope,model_rank__formal_report_current,model_rank,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_tdcc_weekly_candidate_reports.py,model_scope_mismatch,tdcc_short_term_continuation_model_filter,71a021b190b98e206ab68287d1c28f13ca1c9197e59f8f5c24ad6c97e1b56636,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,TDCC weekly code is restricted to its own model.
report_model_rank_theme_fallback,model_rank__formal_report_current,model_rank,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_theme_event_watch.py,cross_artifact_literal,all_candidates_fallback_uses_rank,4d69cf21eae03533d02b2fd8b8f4ed9cc13910f0254c5c1760e7ae01285c4873,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,model_rank literal is not read from the formal report artifact.
report_model_rank_pdf_forbidden_schema,model_rank__formal_report_current,model_rank,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/validate_daily_pdf_contract_consumers.py,schema_or_renderer_guard,forbidden_research_column_contract,debdbf2730297fa01313381c00b808ed1acc21522636e8ccc8ae33cd5018b5c4,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,PDF validator names model_rank as a forbidden candidate field.
raw_model_score_data_layer_audit,model_score__formal_raw_current,model_score,output/latest/daily_candidate_model_signals_latest.csv,scripts/audit_daily_data_layer_consistency.py,no_direct_field_read,raw_artifact_used_for_date_parity_only,36fee8fd6f7d716810ffa0e730bc28c55c44c0ff2ec03d310eb527e75d42031c,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,model_score validation uses the report artifact.
