surface_id,surface_name,surface_type,selection_level,owning_lane,supporting_lanes,formal_contract_file,primary_source_file,implementation_sources,consumer_surfaces,approved_for_daily_pdf,approved_for_tdcc_weekly_pdf,approved_for_individual_pdf,stock_entry_signal,research_parity_status,promotion_required,effective_from,deprecated_after,change_reason,notes
volume_range_breakout,Volume range breakout,stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,ok,true,2026-06-22,none,initial_model_surface_registry,Formal stock contract model. Detailed production contract is in stock_model_contract_registry.csv.
price_pullback_23ema,Price pullback 23EMA,stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Research replay is advisory-only until explicit promotion or sync PR.
hot_theme_pullback,Hot theme pullback,stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Research replay is advisory-only until explicit promotion or sync PR.
revenue_unreacted_range,Revenue unreacted range,stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Research proxy is broad because historical revenue panel is incomplete; do not tune production directly from proxy stats.
w_bottom_right_side,W-bottom right side,stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Research replay is advisory-only until explicit promotion or sync PR.
near_high_neckline_challenge,Near high neckline challenge,stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Distance-field sign semantics require human review before tuning.
platform_strengthening,Platform strengthening,stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Research replay is advisory-only until explicit promotion or sync PR.
pullback_short_reclaim,Pullback short reclaim,stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Research replay is advisory-only until explicit promotion or sync PR.
tdcc_stealth_accumulation,TDCC stealth accumulation,tdcc_stock_entry_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;research_backtest,true,false,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Stock contract model using TDCC fields but not approved for TDCC weekly consumer use.
tdcc_short_term_continuation_d5_d10,TDCC short-term continuation D+5/D+10,tdcc_specialty_stock_model,individual_stock,daily_model_maintenance,research_backtest;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/stock_model_contract_registry.csv,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py,daily_pdf;tdcc_weekly_pdf;research_backtest,true,true,false,true,warning_research_variant_only,true,2026-06-22,none,initial_model_surface_registry,Only current TDCC-weekly-approved stock model contract surface.
group_fund_rotation,Group fund rotation,theme_fund_rotation_model,theme_group,daily_model_maintenance,event_catalyst_maintenance;daily_pdf_production;pdf_layout_maintenance,pending_theme_model_contract,scripts/build_daily_candidate_model_layer.py,scripts/build_daily_candidate_model_layer.py;rules/daily_stock_candidate_rules.md;output/latest/daily_candidate_group_rotation_latest.csv,daily_pdf_end_section;indicator_usage_guide;publish_readme,true,false,false,false,pending_backtest_optimization,true,2026-06-22,none,initial_model_surface_registry,Theme-level fund-flow observation surface. It is not an individual stock entry model and must not be added to stock_model_contract_registry.csv.
event_catalyst_overlay,Event and catalyst overlay,event_catalyst_overlay_surface,candidate_overlay,event_catalyst_maintenance,daily_model_maintenance;daily_pdf_production;tdcc_weekly_report;individual_pdf_report,config/event_catalyst_overlay_contract.csv,config/event_catalyst_overlay_contract.csv,config/event_catalyst_overlay_contract.csv,daily_pdf;tdcc_weekly_pdf;individual_pdf;packet;validator,true,true,true,false,disclosure_only_not_ranked,true,2026-06-22,none,initial_model_surface_registry,Disclosure-only overlay surface. Score or ranking effects require explicit contract and backtest promotion.
