sentinel_id,artifact_glob,owner,sentinel_class,required,notes
formal_model_registry,config/stock_model_contract_registry.csv,model_governance,formal_contract,True,Research runs cannot alter formal model approval or presentation flags.
formal_evidence_pin_registry,config/formal_model_evidence_pins.csv,model_governance,formal_evidence_contract,True,Research runs cannot repoint promoted evidence.
approved_operation_patterns,output/latest/approved_operation_patterns_latest.*,model_governance,formal_approval,True,Approval rows are refreshed only by explicit formal sync.
operation_readiness,output/latest/model_operation_readiness_latest.*,model_governance,formal_readiness,True,Research runs cannot refresh operation readiness.
w_bottom_operation_adapter,output/latest/daily_w_bottom_right_side_operation_section_latest.*,w_bottom_right_side,formal_operation_adapter,True,Protected mature model adapter.
neckline_operation_adapter,output/latest/daily_neckline_volume_breakout_confirmation_operation_section_latest.*,neckline_volume_breakout_confirmation,formal_operation_adapter,True,Protected mature model adapter.
price_pullback_operation_adapter,output/latest/daily_price_pullback_23ema_operation_section_latest.*,price_pullback_23ema,formal_operation_adapter,True,Protected mature model adapter.
volume_breakout_operation_adapter,output/latest/daily_volume_breakout_operation_section_latest.*,volume_range_breakout_v2,formal_operation_adapter,True,Protected mature model adapter.
daily_model_snapshots,output/history/daily_model_snapshots/*,daily_production,production_snapshot,True,All published production snapshots are immutable during research.
volume_low_mid_formal_evidence,output/latest/research_backtest/volume_range_breakout_v2_candidate_bucket_contract_latest.csv,volume_range_breakout_v2,formal_evidence,True,Pinned formal evidence must not drift during another model run.
volume_high_formal_evidence,output/latest/research_backtest/volume_range_breakout_v2_high_position_improvement_audit_latest.csv,volume_range_breakout_v2,formal_evidence,True,Pinned formal evidence must not drift during another model run.
w_bottom_formal_spec,docs/specs/w_bottom_right_side_early_entry_operation_spec.md,w_bottom_right_side,formal_evidence,True,Immutable promoted operation specification.
neckline_formal_spec,docs/specs/neckline_volume_breakout_confirmation_model_change_spec.md,neckline_volume_breakout_confirmation,formal_evidence,True,Immutable promoted operation specification.
price_pullback_formal_spec,docs/specs/price_pullback_23ema_operation_candidate_spec.md,price_pullback_23ema,formal_evidence,True,Immutable promoted operation specification.
