code,name,primary_theme,secondary_theme,industry,concept_tags,updated_at
4916,事欣科,AI server supply chain,industrial computer,computer peripherals,"IPC;gaming;server",2026-05-23
2375,凱美,passive components,capacitors,electronic components,"capacitor;passive components",2026-05-23
2492,華新科,passive components,MLCC,electronic components,"MLCC;passive components",2026-05-23
3624,光頡,passive components,resistors,electronic components,"resistor;passive components",2026-05-23
3357,臺慶科,passive components,inductors,electronic components,"inductor;passive components",2026-05-23
5425,台半,power discrete/diodes,diodes,semiconductor,"diode;power discrete",2026-05-23
3048,益登,semiconductor,IC distribution,electronic distributors,"IC distribution;semiconductor",2026-05-23
3033,威健,semiconductor,IC distribution,electronic distributors,"IC distribution;semiconductor",2026-05-23
3450,聯鈞,optical communication/CPO,optical components,optical communication,"optical;CPO",2026-05-23
6173,信昌電,passive components,ceramic powder,electronic components,"ceramic;MLCC supply chain",2026-05-23
2481,強茂,power discrete/diodes,diodes,semiconductor,"diode;power discrete",2026-05-23
8261,富鼎,power discrete/diodes,MOSFET,semiconductor,"MOSFET;power discrete",2026-05-23
3707,漢磊,semiconductor,foundry,semiconductor,"compound semiconductor;foundry",2026-05-23
3006,晶豪科,memory,DRAM IC,semiconductor,"memory;DRAM",2026-05-23
2344,華邦電,memory,DRAM and flash,semiconductor,"memory;DRAM;flash",2026-05-23
5351,鈺創,memory,DRAM IC,semiconductor,"memory;IC design",2026-05-23
4966,譜瑞-KY,semiconductor,IC design,semiconductor,"high-speed interface;IC design",2026-05-23
2355,敬鵬,PCB/CCL,PCB,PCB,"PCB;auto electronics",2026-05-23
5439,高技,PCB/CCL,PCB,PCB,"PCB",2026-05-23
5464,霖宏,PCB/CCL,PCB,PCB,"PCB",2026-05-23
4906,正文,networking,network equipment,communications,"networking;wireless",2026-05-23
6285,啟碁,networking,network equipment,communications,"networking;communications",2026-05-23
8028,昇陽半導體,semiconductor equipment/materials,wafer reclaim,semiconductor,"wafer reclaim;semiconductor materials",2026-05-23
3131,弘塑,semiconductor equipment/materials,semiconductor equipment,semiconductor equipment,"wet process;semiconductor equipment",2026-05-23
3498,陽程,semiconductor equipment/materials,automation equipment,semiconductor equipment,"automation;equipment",2026-05-23
3481,群創,consumer electronics,panel,optoelectronics,"panel;display",2026-05-23
8042,金山電,passive components,capacitors,electronic components,"capacitor;passive components",2026-05-23
3305,昇貿,other electronics,solder materials,electronic materials,"solder;materials",2026-05-23
