source_id,source_role,official_url,http_contract,coverage_start,scope_semantics,availability_semantics,revision_semantics,taxonomy_semantics,raw_archive_policy,pit_eligible,formal_model_use_allowed,status,blocker,notes
mops_xbrl_bulk_index,quarter_archive_index,https://mopsov.twse.com.tw/mops/web/ajax_t203sb02,POST step=1 returns quarterly FileDownLoad contracts,2013Q1,archive filenames encode industry schema and cr/ir report scope,no company filed_at,one current archive link per quarter with no version list,industry-specific taxonomy is referenced by each instance,external_content_addressed_archive_required,False,False,usable_for_payload_discovery_only,exact_initial_company_filed_at_and_complete_revision_payload_history_unavailable,The index exposes tifrs-YYYYQn.zip from 2013Q1 onward and separate pre-IFRS tw-gaap archives.
mops_xbrl_bulk_download,quarter_archive_payload,https://mopsov.twse.com.tw/server-java/FileDownLoad,GET step=9 functionName=show_file2 fileName=tifrs-YYYYQn.zip filePath=/ifrs/YYYY/,2013Q1,instance filenames encode ci/basi/bd/fh/ins/mim and cr/ir,ZIP member timestamps are later archive rebuild times and are not company filed_at,archive contains one visible current instance per company scope and not prior payload versions,schemaRef proves the taxonomy regime used by each instance,external_content_addressed_archive_required,False,False,usable_for_latest_historical_payload_only,archive_rebuild_time_cannot_be_used_as_availability_and_prior_revisions_are_not_preserved,Raw ZIPs stay outside Git and are referenced only by immutable SHA-256.
mops_xbrl_single_company,single_company_current_instance,https://mopsov.twse.com.tw/mops/web/ajax_t203sb01,POST step=1 co_id=<stock_id> TYPEK=all returns period scope preview and download links,2009Q4,rows explicitly label consolidated or individual,no company filed_at,one current download per company period scope and no revision list,download resolves to the same period taxonomy family,external_content_addressed_archive_required,False,False,usable_for_scope_cross_check_only,exact_initial_company_filed_at_and_prior_revision_payloads_unavailable,This surface confirms cr=consolidated and ir=individual through the displayed scope labels.
mops_financial_report_announcement,financial_report_announcement,https://mops.twse.com.tw/mops/api/t163sb01,POST JSON companyId=<stock_id> dataType=2 subsidiaryCompanyId=<empty> year=<roc_year> season=<1-4>,2013Q1,company market and consolidated or individual report scope are displayed,the response does not expose initial filed_at and its query datetime is not a source version id,only current report content and correction status are visible while prior full payloads are absent,report links resolve to the applicable XBRL taxonomy,external_content_addressed_archive_required,False,False,usable_for_market_and_scope_cross_check_only,exact_initial_company_filed_at_unavailable,ReviewAuditDate and response datetime are not filing availability; the 2348 2026Q1 response confirms listed market and consolidated scope only.
mops_financial_report_correction,financial_report_revision_event,https://mopsov.twse.com.tw/mops/web/ajax_t56sb31_q1,POST step=1 isQuery=Y TYPEK=<sii|otc> year=<roc_year> season=<01-04> then GET step=2 CID YEAR_SEASON RID DTYPE SKEY,2013Q1,correction rows identify company report type and correction description,correction detail exposes date and SKEY but no guaranteed revision time,each SKEY may link selected correction or replacement pages but complete before and after XBRL payload versions are not supplied,no standalone taxonomy payload is supplied by the correction table,external_content_addressed_archive_required,False,False,usable_for_revision_event_and_selected_page_audit_only,initial_filed_at_and_complete_revision_payload_lineage_unavailable,The 2816 2013Q1 4552 2025Q1 and two 2348 2026Q1 attachments are page subsets rather than full immutable report-version pairs.
mops_historical_material_information,historical_material_information,https://mops.twse.com.tw/mops/api/t05st01,POST JSON companyId year month firstDay lastDay and POST /mops/api/t05st01_detail with enterDate serialNumber companyId marketKind,2013Q1,announcement text may identify period and consolidated or individual scope but historical templates are not uniform,official announcement date plus time provide second-level public availability for fields actually included in that announcement,initial and correction announcements may expose values and state that iXBRL was reuploaded but do not provide a complete full-statement payload lineage,no standalone taxonomy payload is supplied by material information,external_content_addressed_archive_required,False,False,usable_for_announcement_and_metric_revision_cross_check_only,announcement_field_coverage_and_complete_revision_payload_lineage_unavailable,The 2348 2026Q1 SKEY crosswalk uses company period date and text because t05 and t56 expose no common official revision key; announcement time is not XBRL filed_at.
mops_financial_report_document_index,financial_report_pdf_upload_index,https://mopsov.twse.com.tw/mops/web/ajax_t57sb01_q1,POST step=1 co_id=<stock_id> year=<roc_year> redirects to doc.twse.com.tw t57sb01 and step=9 downloads the canonical PDF,2013Q1,rows identify company period language and consolidated or individual report type,the index exposes an official PDF upload timestamp to the second for each visible report row,the public interface exposes one canonical filename plus the latest correction indicator and does not expose selectable before and after full PDF payload versions,PDF report type is scope evidence but not an XBRL taxonomy registry,external_content_addressed_archive_required,False,False,usable_for_visible_pdf_upload_time_only,current_canonical_payload_cannot_be_bound_to_every_revision_timestamp,The upload timestamp is earlier than known correction dates in the 2816 2013Q1 and 4552 2025Q1 probes; it therefore cannot be reused as a revision filed_at. Public non-exposure does not prove that the official backend never retained prior files.
twse_financial_report_correction_guidance,official_correction_process_guidance,https://www.twse.com.tw/staticFiles/news/event/ff80808167ee6fdf0169be45e16c09db.pdf,GET official filing guidance PDF pages 21-22,current_process_guidance,the guidance separately describes formatted financial-statement and electronic-book correction workflows,not a company availability source,correct formatted data are resubmitted while an uploaded electronic book is deleted before a new electronic book is uploaded; no public immutable before and after payload archive is specified,not a taxonomy source,external_content_addressed_archive_required,False,False,usable_for_public_revision_process_contract_only,guidance_describes_replace_workflow_but_not_retrievable_prior_payloads,The guidance proves that the public current-file workflow is not an append-only version contract; it does not prove whether the official backend retains deleted files internally.
mops_taxonomy_download,taxonomy_registry,https://mopsov.twse.com.tw/mops/web/ajax_t203sb03,POST route lists downloadable taxonomy packages,2013Q1,industry and report-scope taxonomy families are separate,no company availability semantics,not a filing revision source,taxonomy packages define regime-specific concepts and must not be mixed across industries,external_content_addressed_archive_required,False,False,usable_for_taxonomy_mapping_only,not_an_availability_or_revision_source,Taxonomy evidence supports parsing but cannot authorize historical PIT use.
twse_openapi_financial_statement_current_snapshot,current_financial_statement_snapshot_api,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_ci,GET /v1/swagger.json plus GET /v1/opendata/t187ap06_<L|X>_<ci|basi|bd|fh|ins|mim>,current_snapshot_only,listed and OTC markets plus six industry schemas are separate,出表日期 is a dataset output date and not company filed_at,one current table is visible with no company revision id or version selector,endpoint suffix identifies market and industry schema but is not historical taxonomy lineage,external_content_addressed_archive_required,False,False,current_snapshot_only_not_historical_pit,no_company_filed_at_and_no_revision_version_selector,The 2026-07-17 L_ci capture contains 1043 current 2026Q1 rows with 出表日期=1150716 and no filed_at or revision fields.
