migration_id,changed_data_families,previous_contract_sha256s,new_contract_sha256s,affected_models,validation_commands,user_approval_reference,migration_status,notes
baseline_data_20260712,daily_all_candidates_snapshots;daily_model_background_feature_catalog;daily_model_signal_background_feature_panel;daily_model_signal_snapshots;market_index_history;market_sentiment_context_history;mature_model_row_level_metric_contract_audit;monthly_revenue_coverage_backfill_audit;monthly_revenue_history;monthly_revenue_point_in_time_panel;neckline_context_interpretation;price_pullback_23ema_promotion_matrix;price_pullback_23ema_research_outputs;price_pullback_23ema_revenue_condition_matrix;revenue_unreacted_range_close_confirmation_timing_audit;revenue_unreacted_range_feature_contrast_audit;revenue_unreacted_range_fixed_confirmation_feature_contrast_audit;revenue_unreacted_range_operation_candidate_matrix;revenue_unreacted_range_revenue_condition_matrix;stock_price_history;tdcc_stock_history;theme_taxonomy_latest;volume_breakout_operation_research_outputs;volume_range_breakout_v2_high_position_improvement_audit;w_bottom_shape_interpretation,BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE;BASELINE,6f5b7c13d4f6b4478f4ec843066690627c3034abc46cdc5a61e0238ca25226d7;b461ae373ec043e2bf50d97d1096b52cd46db387896f21f62c62d5b8bc7bfc48;3c405af56f0e056f542c7f47fab7d89db25242037b7d1de8bb5887f95eb82c27;93adf9f60cdbd52b34ddf08d7294f5391af5895b9f80116c4a3259a0dcf308e9;a51cc8e9ef1c349c33db0e149ffee5d323538f51f0c6892d7f9ea426468773c9;5f47fefb6275472c8874ceed2a70f193e5d83e2a47be838525127b54cdd3ffaa;1d339c997af669809d4ddc84b97ee35d4e42a12e97390d5a86d98f8f6760a87f;90c2b31e85905c68fa375c2f4583e5057ec3ed3053251f7558e215fb8518ffeb;b9f939a2df4d6335b2e730932137258674d3b058e07488f8b6827a125bff997f;52dfb4bd915865053d3b645889801634f929bcddd8876ed77211b668016124b8;7dfc57a6727c407b76900097e7824bddc512d317526f1bdf24d27410de06ba75;b1ff2e209b4c92fddfa7c68a277d2b2a4344bf69cad3e6d7fdbab20491583032;d9c32073a9058c2a06b2a93854f8c8d62731734d495e0c813c758e7591d620a3;a079850efa79813bfdba44026204255f04cac96258ad74b702caae968d1c6031;839f68afa971453ec8b74ac640657919dd9749ecc1b32ae4afac18029cadf772;b34b558c79f87fbcd5d92eff797c34172e8726983fddff29f2c83b622e140252;f0f0fbc429d754533bb6aa41cc7c67b115f5bfe3338844fbe3862a0775a0a5f0;93bfcc342ccd936e3b5a1bb23cd9f82bc8eca8f29d2559805d4de36f5e680038;f7214ef5e54da475706c0674933d6e0d079a504f45bbef409162388c4f4ecc1b;2472b6309274545286c3cc7b5efc12ed8396aec4c2e007a60102271db06bf18e;94bde78d52d7b02efc83a03ad3c806221375fe05b6c66528589a6ef45e747103;917e3644475103da6a24b712bf4a763646a2bb5d6b1dbff960f2b6455b0c98a9;07a5a51735d24d0c78c9d412be9dbe5cdcebe8fd6c88e05f19f4d0d24d712f48;c00d537374c5788546790bd5485699a51b08f9e082d7ea40b0100f45ee88efa0;b942b5dcdecc636f10c966815f2ef11221582ac329e2311f9c9fdffddcd1d5f5,all_models;neckline_volume_breakout_confirmation;price_pullback_23ema;revenue_unreacted_range;volume_range_breakout;volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack;w_bottom_right_side,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_background_data_registry.py,baseline_existing_contract_20260712,baseline_registered,Immutable initial data contract inventory; baseline registration is not approval to add writers consumers or sharing.
anomaly_candidate_primary_metrics_20260712,monthly_revenue_history;monthly_revenue_point_in_time_panel;price_pullback_23ema_research_outputs;price_pullback_23ema_revenue_condition_matrix;price_pullback_23ema_promotion_matrix;revenue_unreacted_range_revenue_condition_matrix;revenue_unreacted_range_operation_candidate_matrix;revenue_unreacted_range_feature_contrast_audit;revenue_unreacted_range_close_confirmation_timing_audit;revenue_unreacted_range_fixed_confirmation_feature_contrast_audit;revenue_unreacted_range_extreme_return_path_audit;revenue_unreacted_range_lag_strength_matrix,b9f939a2df4d6335b2e730932137258674d3b058e07488f8b6827a125bff997f;52dfb4bd915865053d3b645889801634f929bcddd8876ed77211b668016124b8;d9c32073a9058c2a06b2a93854f8c8d62731734d495e0c813c758e7591d620a3;a079850efa79813bfdba44026204255f04cac96258ad74b702caae968d1c6031;b1ff2e209b4c92fddfa7c68a277d2b2a4344bf69cad3e6d7fdbab20491583032;f7214ef5e54da475706c0674933d6e0d079a504f45bbef409162388c4f4ecc1b;93bfcc342ccd936e3b5a1bb23cd9f82bc8eca8f29d2559805d4de36f5e680038;b34b558c79f87fbcd5d92eff797c34172e8726983fddff29f2c83b622e140252;839f68afa971453ec8b74ac640657919dd9749ecc1b32ae4afac18029cadf772;f0f0fbc429d754533bb6aa41cc7c67b115f5bfe3338844fbe3862a0775a0a5f0;NEW;NEW,7c30055be9bf5d3dab0bf2318d74f0df2ad095db8dd4bcdaf06e1b91d981e77d;02f9b6c407883b99b03c6c173ff15f46d6e946a457af01fc122cab89d06e1869;5a4f318a881e2aade837eb65916bd650fdac9702d2cbe406f3e0c9c9c71de2d5;ada29f7e050150273eb3eccc5ad3b42649e1db110334eb327ccd0cbc9d3c172f;33690dc031d32190375eb1984497f5b48882c2a395190992c18d9fb3b408e83f;ed8750ab708a521c25dd7fa63ae57575888741f74f3fe1ec5c2915543b6f4cd0;2916eeb6a8b13d73505068aafdea9f85b9d38595529af2866bff65036152419f;289aab7764939a9eab80a8427d870ce94e7350f87927bd33f1840df26dd897ce;c99b6fb2080896b4cbb432ad6d0e2468bdcd9148c638a469563e545a1c1c2ed4;cf59df65d092aa900528b0f11a5440a4917386ed77f4fcbae1bcf3850a4a285e;8b52d4659d3212236328ecb1b2decb582fb6a063bdc598bf98d4bfae79c55719;c42e820afc93e6f467de7103f70b19faae344dcb40e96048ab11318fe75a54df,all_models;price_pullback_23ema;revenue_unreacted_range,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_revenue_condition_matrix.py;python scripts/validate_price_pullback_promotion_matrix.py;python scripts/validate_revenue_unreacted_range_fixed_confirmation_feature_contrast.py;python scripts/validate_revenue_unreacted_range_extreme_return_path_audit.py;python scripts/validate_revenue_unreacted_range_lag_strength_matrix.py,user_approved_anomaly_root_cause_governance_20260712,validated_user_approved_migration,User approved candidate-only threshold semantics primary metric retention two new model-owned revenue audit families and sensitivity-only exclusion views.
revenue_launch_timing_feature_audit_20260713,revenue_unreacted_range_launch_timing_feature_audit,NEW,9156f82c9831ba1d0f6b159463eb7571944b9c6fe24cabdf3a068c5ed40aae6e,revenue_unreacted_range,python scripts/validate_model_data_independence.py;python scripts/validate_revenue_unreacted_range_launch_timing_feature_audit.py,user_requested_revenue_launch_timing_feature_audit_20260713,validated_user_approved_migration,User requested model-owned launch timing no-fallback definition successful versus never-launched feature analysis primary candidate retention right censoring same-stock non-overlap conditional feature launch rates and bottom-level 3593 capital-reduction price comparability adjustment from official TWSE evidence.
revenue_source_first_known_success_coverage_20260713,revenue_unreacted_range_source_first_condition_audit,NEW,d0af612a7d09bca295f0b56e6b286ab16d69fd05e0330841ff8a94032742f99a,revenue_unreacted_range,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_background_data_registry.py;python scripts/validate_revenue_unreacted_range_source_first_condition_audit.py,user_requested_known_success_coverage_and_condition_adjustment_20260713,validated_user_approved_migration,User identified 4916 and 1303 as success cases and requested research plus condition adjustment; the new source-first asset remains model-owned research only with right censor non-overlap anomaly retention and separate retrospective-launch versus first-breakout metrics.
revenue_forward_confirmation_feature_audit_20260713,revenue_unreacted_range_forward_confirmation_feature_audit,NEW,995625483248e76a27316420e8de07491158a83f25c3fc443c4f76bb72490dd5,revenue_unreacted_range,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_background_data_registry.py;python scripts/validate_revenue_unreacted_range_forward_confirmation_feature_audit.py,user_requested_forward_confirmation_feature_audit_20260713,validated_user_approved_migration,User approved execution of the model-owned forward first-match confirmation and complete source launch versus first mature failure feature audit with close-confirmed next-open operation timing same-stock non-overlap anomaly retention and no production promotion.
revenue_rearmed_operation_grid_20260713,revenue_unreacted_range_rearmed_operation_grid,NEW,1b3915bf2f82c119820a1ae7b545ed74c91dd83fc24c00a0f5f49481206b1189,revenue_unreacted_range,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_background_data_registry.py;python scripts/validate_revenue_unreacted_range_rearmed_operation_grid.py,user_adopted_rearmed_operation_grid_20260713,validated_user_approved_migration,User adopted the close-confirmed MA60 above MA120 base confirmation and exit-gated rearmed lifecycle. The delayed next-close continuation remains a separately timed D2-open bonus and the operation grid remains model-owned research only with no production promotion.
revenue_price_comparability_2380_20260713,revenue_unreacted_range_launch_timing_feature_audit,9156f82c9831ba1d0f6b159463eb7571944b9c6fe24cabdf3a068c5ed40aae6e,7fae8b6102f7cac5715ef3845ee6345788bee7d57188c9eff5d754219a632145,revenue_unreacted_range,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_background_data_registry.py;python scripts/validate_revenue_unreacted_range_launch_timing_feature_audit.py;python scripts/validate_revenue_unreacted_range_rearmed_operation_grid.py,user_adopted_rearmed_grid_and_required_bottom_level_2380_review_20260713,validated_user_approved_migration,Bottom-level review proved that the 2380 raw price jump was a loss-offset capital-reduction scale change. The verified TWSE event dates reference price and 0.27658171 exchange ratio are model-owned research resolution evidence and are not shared corporate-action data.
revenue_operation_lag_bucket_audit_20260714,revenue_unreacted_range_source_first_condition_audit;revenue_unreacted_range_operation_lag_bucket_audit,d0af612a7d09bca295f0b56e6b286ab16d69fd05e0330841ff8a94032742f99a;NEW,ed1c90dfeba7846f6078c01a116967b2cc42e695d37471c6892402b9e7acb044;c204e9e4fe2dfd55da9331272f3084654e9323f025c10950a0cfe92e567af693,revenue_unreacted_range,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_background_data_registry.py;python scripts/validate_revenue_unreacted_range_source_first_condition_audit.py;python scripts/validate_revenue_unreacted_range_operation_lag_bucket_audit.py,user_requested_revenue_operation_lag_bucket_audit_20260714,validated_user_approved_migration,User requested adopted-grid performance buckets from the latest qualifying revenue known as of each trigger and from the first qualifying revenue. The migration adds aligned source lineage and a model-owned research-only audit with no production promotion PDF operation adapter or cross-model consumer.
financial_statement_pit_data_layer_20260716,financial_statement_point_in_time_history;financial_statement_source_manifest;financial_statement_pit_coverage_audit,NEW;NEW;NEW,ddc0c0a54d0374f8622fb3dbe51a88ca1aa841d2955ca5f1432e81aec9e08f63;8cccd88ec43a1b8d51577e3776e866881c661e9811746da4e4a5c142af5529f0;35fc38ac95271dee3ad7aa3fa7671f52dfbdfd4ff26646e43f4bc62a4c2d8aae,all_models,python scripts/validate_financial_statement_pit.py;python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_background_data_registry.py,user_requested_financial_statement_pit_data_layer_20260716,validated_user_approved_migration,User requested an independent shared objective quarterly and annual financial-statement PIT data layer for EPS margins operating income non-operating income and net income. Current OpenAPI snapshots remain first-observed only and numerical threshold candidates remain in primary data pending bottom-level disposition; formal model use stays blocked pending exact historical filing availability coverage and separate promotion.
historical_financial_statement_pit_source_audit_20260716,financial_statement_historical_pit_source_audit,NEW,8da21eb04ed9fce3ffe4c8f1338e78db0736a5e1bee75b35d5eee11ad933f260,all_models,python scripts/validate_financial_statement_historical_pit_source_audit.py;python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_background_data_registry.py,user_requested_historical_financial_statement_pit_source_audit_20260716,validated_user_approved_migration,User requested the historical financial-statement PIT source audit and bounded 2013Q1 plus modern-quarter pilot. Official payload scope and taxonomy are reproducible but exact initial filed_at and complete prior revision payloads are not; the source audit remains read-only and cannot authorize any model PDF packet ranking gate or promotion use.
