migration_id,utility_path,previous_canonical_sha256,new_canonical_sha256,affected_models,validation_commands,migration_status,notes
baseline_20260712,scripts/build_daily_model_parameter_research.py,,0649284a631085ac1b9aa566eb52f88b5793f284a12a8109c556f975adda1c0c,cross_model_research;price_pullback_23ema;revenue_unreacted_range,python scripts/validate_daily_model_research_parity.py;python scripts/validate_price_pullback_daily_row_parity.py;python scripts/validate_revenue_unreacted_range_fixed_confirmation_feature_contrast.py,baseline_registered,Initial immutable baseline; not evidence that a migration was performed.
baseline_20260712,scripts/research_weekly_20pct_surge_volume.py,,2f2943d04de699150787236e97f0786335fb1b82e44c0841fe050363158e3119,cross_model_research;volume_range_breakout_v2,python scripts/validate_volume_range_breakout_v2_raw_market_rerun.py;python scripts/validate_volume_range_breakout_v2_research_contract.py,baseline_registered,Initial immutable baseline; not evidence that a migration was performed.
baseline_20260712,scripts/research_weekly_surge_technical_grid.py,,cdf947aedd220ff4a9048555851b213ee31cdb485a84018d0bc7f4e14fbbd38c,cross_model_research;volume_range_breakout_v2,python scripts/validate_volume_range_breakout_v2_feature_slice_analysis.py;python scripts/validate_volume_range_breakout_v2_research_contract.py,baseline_registered,Initial immutable baseline; not evidence that a migration was performed.
baseline_20260712,scripts/build_daily_candidate_model_layer.py,,2ce9e4c2cc0b65383c0e40b1c68e0fd13bcd43243670203c5fb4137a658b2938,daily_production;hot_theme_pullback;neckline_volume_breakout_confirmation;price_pullback_23ema;pullback_short_reclaim;revenue_unreacted_range;tdcc_short_term_continuation_d5_d10;tdcc_stealth_accumulation;volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack;w_bottom_right_side,python scripts/validate_daily_model_research_parity.py;python scripts/validate_daily_pdf_contract_consumers.py;python scripts/validate_stock_model_contract_registry.py;python scripts/validate_model_data_independence.py,baseline_registered,Initial immutable baseline plus corrected complete consumer inventory; not evidence that a migration was performed.
baseline_20260712,scripts/tracking_utils.py,,09a4f6b916c95a275cb81d31627dc226a46c2f8964835269bf138a2505a9afe7,daily_production;hot_theme_pullback;neckline_volume_breakout_confirmation;price_pullback_23ema;pullback_short_reclaim;revenue_unreacted_range;tdcc_short_term_continuation_d5_d10;tdcc_stealth_accumulation;volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack;w_bottom_right_side,python scripts/validate_daily_model_research_parity.py;python scripts/validate_daily_pdf_contract_consumers.py;python scripts/validate_stock_model_contract_registry.py;python scripts/validate_model_data_independence.py,baseline_registered,Initial immutable low-level shared utility baseline; not evidence that a migration was performed.
anomaly_root_cause_governance_20260712,scripts/build_daily_model_parameter_research.py,0649284a631085ac1b9aa566eb52f88b5793f284a12a8109c556f975adda1c0c,902f500513500b8dc395f7fb3f4a5679a72297c043a8c6d4299615403b7bcab0,cross_model_research;price_pullback_23ema;revenue_unreacted_range,python scripts/validate_daily_model_research_parity.py;python scripts/validate_price_pullback_daily_row_parity.py;python scripts/validate_price_pullback_promotion_matrix.py;python scripts/validate_revenue_unreacted_range_feature_contrast_audit.py;python scripts/validate_revenue_unreacted_range_close_confirmation_timing_audit.py;python scripts/validate_revenue_unreacted_range_fixed_confirmation_feature_contrast.py;python scripts/validate_revenue_unreacted_range_extreme_return_path_audit.py;python scripts/validate_revenue_unreacted_range_lag_strength_matrix.py;python scripts/validate_repo_code_isolation_policy.py,validated_cross_model_migration,User-approved governance migration: statistical magnitude creates candidates only; unresolved candidates remain in primary metrics; exclusion views are sensitivity-only; complete root-cause evidence is mandatory before final disposition.
canonical_tdcc_research_consumer_20260719,scripts/build_daily_model_parameter_research.py,902f500513500b8dc395f7fb3f4a5679a72297c043a8c6d4299615403b7bcab0,0faa88ecea0f80569430b1c132ed2ddb77b033bdd26680b5ab264032c27f4449,cross_model_research;price_pullback_23ema;revenue_unreacted_range,python scripts/validate_daily_model_research_parity.py;python scripts/validate_price_pullback_daily_row_parity.py;python scripts/validate_price_pullback_promotion_matrix.py;python scripts/validate_revenue_unreacted_range_feature_contrast_audit.py;python scripts/validate_revenue_unreacted_range_close_confirmation_timing_audit.py;python scripts/validate_revenue_unreacted_range_fixed_confirmation_feature_contrast.py;python scripts/validate_revenue_unreacted_range_extreme_return_path_audit.py;python scripts/validate_revenue_unreacted_range_lag_strength_matrix.py;python scripts/validate_repo_code_isolation_policy.py,validated_cross_model_migration,PR 420 replaces the TDCC input with manifest-declared canonical full history and adds source dataset-id lineage only; no parameter ranking scoring baseline or promotion semantic changes.
volume_v2_formal_lineage_hardening_20260719,scripts/build_daily_candidate_model_layer.py,2ce9e4c2cc0b65383c0e40b1c68e0fd13bcd43243670203c5fb4137a658b2938,15fd559dbfaead72c112ecb0ae8f64d6e9e5c95b35bedac4897eb7b2a2c3175b,daily_production;hot_theme_pullback;neckline_volume_breakout_confirmation;price_pullback_23ema;pullback_short_reclaim;revenue_unreacted_range;tdcc_short_term_continuation_d5_d10;tdcc_stealth_accumulation;volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack;w_bottom_right_side,python scripts/validate_daily_model_research_parity.py;python scripts/validate_daily_pdf_contract_consumers.py;python scripts/validate_stock_model_contract_registry.py;python scripts/validate_model_data_independence.py,validated_cross_model_migration,PR 403 adds volume-v2 canonical field allowlists collision guards and fail-closed source lineage; its reviewed contract does not change model conditions parameters weights or ranking formulas.
volume_v2_watch_repo_relative_source_fix_20260720,scripts/build_daily_candidate_model_layer.py,15fd559dbfaead72c112ecb0ae8f64d6e9e5c95b35bedac4897eb7b2a2c3175b,a41feb355c01272f4d427f7ab0f112fd7f291217e2f03a7db9b645ca7453bc3c,daily_production;hot_theme_pullback;neckline_volume_breakout_confirmation;price_pullback_23ema;pullback_short_reclaim;revenue_unreacted_range;tdcc_short_term_continuation_d5_d10;tdcc_stealth_accumulation;volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack;w_bottom_right_side,python scripts/validate_daily_model_research_parity.py;python scripts/validate_daily_pdf_contract_consumers.py;python scripts/validate_stock_model_contract_registry.py;python scripts/validate_model_data_independence.py,validated_cross_model_migration,User-selected option 1 records the whole-file hash change caused only by repo-relative volume-v2 advisory source resolution; every registered daily consumer remains unchanged and must pass its validators.
daily_snapshot_revision_lineage_hardening_20260720,scripts/build_daily_model_parameter_research.py,0faa88ecea0f80569430b1c132ed2ddb77b033bdd26680b5ab264032c27f4449,ed868c80bcec34683091c06fedd95ac109daba260eb9f89e5b17beed68cacf90,cross_model_research;price_pullback_23ema;revenue_unreacted_range,python scripts/validate_daily_model_research_parity.py;python scripts/validate_price_pullback_daily_row_parity.py;python scripts/validate_price_pullback_promotion_matrix.py;python scripts/validate_revenue_unreacted_range_feature_contrast_audit.py;python scripts/validate_revenue_unreacted_range_close_confirmation_timing_audit.py;python scripts/validate_revenue_unreacted_range_fixed_confirmation_feature_contrast.py;python scripts/validate_revenue_unreacted_range_extreme_return_path_audit.py;python scripts/validate_revenue_unreacted_range_lag_strength_matrix.py;python scripts/validate_repo_code_isolation_policy.py,validated_cross_model_migration,User-selected option 1 makes the shared research snapshot selector consume the latest registered revision and reject partial revision schemas; no model condition parameter ranking scoring research baseline promotion state or financial-statement formal-use flag changes.
