case_id,active,report_date,pdf_role,model_id,pdf_section,rendered_row_type,stock_id,empty_state_text,expectation,expected_count,reason
w_bottom_20260706_6176_confirmed_present,True,20260706,mainstream_highlight,w_bottom_right_side,confirmed_operation,data,6176,,present,,20260706 accident guard Radiant Opto-Electronics must remain W-bottom confirmed in digest replay
w_bottom_20260706_1618_confirmed_absent,True,20260706,mainstream_highlight,w_bottom_right_side,confirmed_operation,data,1618,,absent,,20260706 accident guard Syntek Semiconductor must not appear in W-bottom confirmed while already active
w_bottom_20260706_1618_active_present,True,20260706,mainstream_highlight,w_bottom_right_side,active_operation,data,1618,,present,,20260706 accident guard Syntek Semiconductor must remain active tracking only
w_bottom_20260706_3029_active_present,True,20260706,mainstream_highlight,w_bottom_right_side,active_operation,data,3029,,present,,20260706 display-limit guard Zero One Technology must remain visible in W-bottom active tracking
volume_20260706_3055_confirmed_present,True,20260706,mainstream_highlight,volume_range_breakout,confirmed_operation,data,3055,,present,,20260706 accident guard Wholetech System must be volume-breakout confirmed
volume_20260706_3055_active_absent,True,20260706,mainstream_highlight,volume_range_breakout,active_operation,data,3055,,absent,,20260706 accident guard Wholetech System must not be volume-breakout active
volume_20260706_1515_confirmed_absent,True,20260706,mainstream_highlight,volume_range_breakout,confirmed_operation,data,1515,,absent,,20260706 accident guard Lishan full-only row must not enter digest confirmed
volume_20260706_1515_active_absent,True,20260706,mainstream_highlight,volume_range_breakout,active_operation,data,1515,,absent,,20260706 accident guard Lishan must not enter digest active
volume_20260706_mainstream_confirmed_count,True,20260706,mainstream_highlight,volume_range_breakout,confirmed_operation,data,,,count_equals,2,20260706 digest confirmed volume breakout row count
volume_20260706_mainstream_active_count,True,20260706,mainstream_highlight,volume_range_breakout,active_operation,data,,,count_equals,2,20260706 digest active volume breakout row count
volume_20260706_non_mainstream_confirmed_count,True,20260706,non_mainstream_highlight,volume_range_breakout,confirmed_operation,data,,,count_equals,1,20260706 non-mainstream digest confirmed volume breakout row count
volume_20260706_non_mainstream_active_empty,True,20260706,non_mainstream_highlight,volume_range_breakout,active_operation,empty_state,,目前無操作中追蹤列,present,,20260706 non-mainstream digest active volume breakout empty-state row
volume_20260706_non_mainstream_active_data_zero,True,20260706,non_mainstream_highlight,volume_range_breakout,active_operation,data,,,count_equals,0,20260706 non-mainstream digest active volume breakout must not invent active rows
w_bottom_20260706_mainstream_confirmed_count,True,20260706,mainstream_highlight,w_bottom_right_side,confirmed_operation,data,,,count_equals,1,20260706 digest confirmed W-bottom row count
w_bottom_20260706_mainstream_active_count,True,20260706,mainstream_highlight,w_bottom_right_side,active_operation,data,,,count_equals,16,20260706 digest active W-bottom row count must not be capped at five
w_bottom_20260706_non_mainstream_confirmed_count,True,20260706,non_mainstream_highlight,w_bottom_right_side,confirmed_operation,data,,,count_equals,1,20260706 non-mainstream digest confirmed W-bottom row count
w_bottom_20260706_non_mainstream_active_count,True,20260706,non_mainstream_highlight,w_bottom_right_side,active_operation,data,,,count_equals,21,20260706 non-mainstream digest active W-bottom row count must not be capped at five
neckline_20260706_mainstream_confirmed_empty,True,20260706,mainstream_highlight,neckline_volume_breakout_confirmation,confirmed_operation,empty_state,,本日無股票推薦,present,,20260706 digest confirmed neckline empty-state row
neckline_20260706_mainstream_active_empty,True,20260706,mainstream_highlight,neckline_volume_breakout_confirmation,active_operation,empty_state,,目前無操作中追蹤列,present,,20260706 digest active neckline empty-state row
neckline_20260706_mainstream_confirmed_data_zero,True,20260706,mainstream_highlight,neckline_volume_breakout_confirmation,confirmed_operation,data,,,count_equals,0,20260706 digest neckline confirmed must not invent rows
neckline_20260706_mainstream_active_data_zero,True,20260706,mainstream_highlight,neckline_volume_breakout_confirmation,active_operation,data,,,count_equals,0,20260706 digest neckline active must not invent rows
neckline_20260706_non_mainstream_confirmed_empty,True,20260706,non_mainstream_highlight,neckline_volume_breakout_confirmation,confirmed_operation,empty_state,,本日無股票推薦,present,,20260706 non-mainstream digest confirmed neckline empty-state row
neckline_20260706_non_mainstream_active_empty,True,20260706,non_mainstream_highlight,neckline_volume_breakout_confirmation,active_operation,empty_state,,目前無操作中追蹤列,present,,20260706 non-mainstream digest active neckline empty-state row
neckline_20260706_non_mainstream_confirmed_data_zero,True,20260706,non_mainstream_highlight,neckline_volume_breakout_confirmation,confirmed_operation,data,,,count_equals,0,20260706 non-mainstream digest neckline confirmed must not invent rows
neckline_20260706_non_mainstream_active_data_zero,True,20260706,non_mainstream_highlight,neckline_volume_breakout_confirmation,active_operation,data,,,count_equals,0,20260706 non-mainstream digest neckline active must not invent rows
price_pullback_20260706_mainstream_confirmed_count,True,20260706,mainstream_highlight,price_pullback_23ema,confirmed_operation,data,,,count_equals,10,20260706 digest confirmed 23EMA row count after report-line de-duplication
price_pullback_20260706_mainstream_active_count,True,20260706,mainstream_highlight,price_pullback_23ema,active_operation,data,,,count_equals,15,20260706 digest active 23EMA row count
price_pullback_20260706_non_mainstream_confirmed_count,True,20260706,non_mainstream_highlight,price_pullback_23ema,confirmed_operation,data,,,count_equals,10,20260706 non-mainstream digest confirmed 23EMA row count after report-line de-duplication
price_pullback_20260706_non_mainstream_active_count,True,20260706,non_mainstream_highlight,price_pullback_23ema,active_operation,data,,,count_equals,38,20260706 non-mainstream digest active 23EMA row count
price_pullback_20260706_mainstream_1802_once,True,20260706,mainstream_highlight,price_pullback_23ema,confirmed_operation,data,1802,,count_equals,1,20260706 digest 23EMA mainstream must not duplicate explicit non-mainstream row
price_pullback_20260706_non_mainstream_1802_once,True,20260706,non_mainstream_highlight,price_pullback_23ema,confirmed_operation,data,1802,,count_equals,1,20260706 digest 23EMA non-mainstream must not duplicate explicit mainstream row
