source_file,semantic_item,semantic_class,consumer_models,canonical_ast_sha256,change_policy,last_migration_id,approval_reference,required_validation_commands,notes
scripts/build_daily_candidate_model_layer.py,function:append_volume_breakout_signals,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,cd69ba3e907f5dcbc85cc8a835b1133cea66023c807ca0b44bed243dc3fa89ae,family_semantic_user_approved_migration_only,volume_v2_global_official_candidate_scope_repair_20260809,user_delegated_validation_only_replay_2059_repair_20260809,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_research_parity.py;python scripts/validate_stock_model_contract_registry.py;python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_volume_v2_warrant_lineage_history_audit.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_daily_canonical_field_lineage.py tests/test_model_data_independence.py tests/test_volume_v2_warrant_lineage_history_audit.py,Global official warrant rows are validated then scoped to canonical all_candidates identities; watch-only rows cannot inherit warrant signals and model conditions ranking scoring remain unchanged.
scripts/build_daily_candidate_model_layer.py,function:_volume_v2_formal_outcome_envelope,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,89d2148520c91e431de673f984608d0b8174c386691bde23f31258dc426c52bf,family_semantic_user_approved_migration_only,volume_v2_formal_outcome_numeric_canonicalization_20260810,user_delegated_volume_v2_formal_outcome_sha_repair_20260810,python scripts/validate_model_data_independence.py;python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_daily_canonical_field_lineage.py tests/test_model_data_independence.py,"The formal-outcome SHA contract canonicalizes only the seven registered numeric score fields as exact one-decimal Decimal text, rejects invalid precision and non-finite values, and leaves every model condition, weight, membership, rank, score value, entry, and exit unchanged."
scripts/build_daily_candidate_model_layer.py,function:_volume_v2_formal_outcome_sha256,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,29bfa27c669d510aa88a1cabd30af21913c027d71ce65688d654737fc2d8303f,family_semantic_user_approved_migration_only,volume_v2_candidate_projection_lineage_20260731,user_delegated_daily_model_2451_duplicate_normalization_repair_20260731,python scripts/validate_model_data_independence.py;python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_daily_canonical_field_lineage.py tests/test_model_data_independence.py,Volume V2 only helper canonically hashes the effective formal outcome envelope for fail-closed duplicate-source parity; other model semantics are not consumers.
scripts/build_daily_candidate_model_layer.py,function:validate_volume_v2_watch_advisory_lineage,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,c6f644717ae943f441be6ba954b1144f1bcfe54eb8ed9678d0e62c317c2045aa,family_semantic_user_approved_migration_only,volume_v2_advisory_asof_slice_lineage_20260727,user_approved_option_A_volume_watch_asof_lineage_20260727,python scripts/validate_model_data_independence.py;python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_volume_breakout_watch.py,Watch advisory score date artifact and canonical source SHA must match the current dispatcher date before any formal row is built.
scripts/build_daily_candidate_model_layer.py,function:volume_v2_candidate_lookup,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,f4d79a60c4968c546b5822714011042866dee2eb89db4f99370058d9da2b998c,family_semantic_user_approved_migration_only,volume_v2_candidate_projection_lineage_20260731,user_delegated_daily_model_2451_duplicate_normalization_repair_20260731,python scripts/validate_model_data_independence.py;python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_all_candidates_source_identity.py,Relevant multi-category rows retain immutable source identity in canonical source-row-id order; missing lineage duplicate IDs and non-equity identity collapse fail closed.
scripts/build_daily_candidate_model_layer.py,function:volume_v2_canonical_text_sha256,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,4ff06f4a3fbaac86893df25a000a67b3b7e94346c07349996ea7cbfadd7aa251,family_semantic_user_approved_migration_only,volume_v2_advisory_asof_slice_lineage_20260727,user_approved_option_A_volume_watch_asof_lineage_20260727,python scripts/validate_model_data_independence.py;python scripts/validate_volume_v2_warrant_lineage_history_audit.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_volume_v2_warrant_lineage_history_audit.py,Canonical UTF-8 text SHA normalizes BOM and line endings so Windows and Linux preserve one immutable lineage identity.
scripts/build_daily_candidate_model_layer.py,global:VOLUME_V2_CANDIDATE_SCORE_FIELDS,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,7219fc234deaf599618f553b4d20813cec9e7368769cfe5a76afc21a58b490e0,family_semantic_user_approved_migration_only,volume_v2_formal_lineage_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_model_data_independence.py;python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_daily_canonical_field_lineage.py,Only explicitly approved candidate scoring aliases may enter the volume-v2 score row; taxonomy fallback and future candidate-only fields remain excluded.
scripts/build_daily_candidate_model_layer.py,global:VOLUME_V2_FORMAL_DISPATCH_FORBIDDEN_FIELDS,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,2fb9b2c81a63394f17df27e412e0114efe1dfa7898d3c8a50b20dd519f82cb8b,family_semantic_user_approved_migration_only,volume_v2_formal_lineage_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_model_data_independence.py;python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_daily_canonical_field_lineage.py,Formal dispatcher output cannot expose generic or watch-derived score and rank fields; changes require a new migration.
scripts/build_daily_candidate_model_layer.py,global:VOLUME_V2_WATCH_NON_AUTHORITATIVE_COLLISION_FIELDS,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,7ea053dbdf9d9737bb12c1101f5025b8ad897ba5677527d99ed56fed433f91e8,family_semantic_user_approved_migration_only,volume_v2_formal_lineage_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_model_data_independence.py;python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_daily_canonical_field_lineage.py,Known non-authoritative watch mirrors are explicitly ignored; additions require a new migration.
scripts/build_daily_candidate_model_layer.py,global:VOLUME_V2_WATCH_OVERLAY_FIELDS,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,7b3a3358d7e6ac2ff85c233e6e0d6adda926f483a63389b40e28889c323aa9ff,family_semantic_user_approved_migration_only,volume_v2_formal_lineage_hardening_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_model_data_independence.py;python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_candidate_model_layer.py tests/test_daily_canonical_field_lineage.py,Only watch-owned price volume structure and risk context may overlay the canonical source row.
scripts/build_daily_candidate_model_layer.py,function:bottom_volume_attack_breakout_level,contained_legacy_cross_model_semantic,revenue_unreacted_range;tdcc_stealth_accumulation;volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,9df2be1d1106e72d015dc27eb97c4ef94f081201a353364432b727b548a783ae,frozen_user_approved_cross_model_migration_only,baseline_20260712,baseline_inventory_not_share_approval_20260712,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_research_parity.py;python scripts/validate_stock_model_contract_registry.py,Exact AST hash and consumers are frozen; baseline registration is not approval to expand sharing.
scripts/build_daily_candidate_model_layer.py,function:bottom_volume_attack_breakout_pct,contained_model_family_semantic,volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,49407903c88c4eccac25569482e918240e7f76711cd9bd79b13dcbaec4ef76b5,family_semantic_user_approved_migration_only,baseline_20260712,baseline_inventory_not_share_approval_20260712,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_research_parity.py;python scripts/validate_stock_model_contract_registry.py,Exact AST hash and consumers are frozen; baseline registration is not approval to expand sharing.
scripts/build_daily_candidate_model_layer.py,function:bottom_volume_attack_bullish_candle,contained_legacy_cross_model_semantic,neckline_volume_breakout_confirmation;price_pullback_23ema;revenue_unreacted_range;tdcc_stealth_accumulation;volume_range_breakout_v2_high_position_volume_attack;volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack,44cee23b51c4a36791e19032435459290072b6db955d05181cd812cfd6b07540,frozen_user_approved_cross_model_migration_only,baseline_20260712,baseline_inventory_not_share_approval_20260712,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_research_parity.py;python scripts/validate_stock_model_contract_registry.py,Exact AST hash and consumers are frozen; baseline registration is not approval to expand sharing.
scripts/build_daily_candidate_model_layer.py,function:bottom_volume_attack_like,contained_legacy_cross_model_semantic,revenue_unreacted_range;tdcc_stealth_accumulation,0bd0715a92d98db1be27477768caec3302c05c548c1cf4a8b858ae6fcb9b42a4,frozen_user_approved_cross_model_migration_only,baseline_20260712,baseline_inventory_not_share_approval_20260712,python scripts/validate_model_data_independence.py;python scripts/validate_daily_model_research_parity.py;python scripts/validate_stock_model_contract_registry.py,Exact AST hash and consumers are frozen; baseline registration is not approval to expand sharing.
