source_id,market,industry_schema,source_kind,source_url,history_mode,availability_semantics,statement_scope,period_basis,monetary_unit,per_share_unit,raw_archive_policy,enabled,notes
twse_general,TWSE,general,official_openapi_current_snapshot,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_ci,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Current official snapshot cannot establish historical company-level filing availability.
twse_banking,TWSE,banking,official_openapi_current_snapshot,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_basi,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Banking schema is not forced into general-industry margin formulas.
twse_securities,TWSE,securities,official_openapi_current_snapshot,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_bd,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Securities schema is normalized independently.
twse_financial_holding,TWSE,financial_holding,official_openapi_current_snapshot,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_fh,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Financial-holding schema is normalized independently.
twse_insurance,TWSE,insurance,official_openapi_current_snapshot,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_ins,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Insurance schema is normalized independently.
twse_other,TWSE,other,official_openapi_current_snapshot,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_mim,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Other-industry schema is preserved separately from general industry.
tpex_general,TPEX,general,official_openapi_current_snapshot,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ci,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Current official snapshot cannot establish historical company-level filing availability.
tpex_banking,TPEX,banking,official_openapi_current_snapshot,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_basi,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Banking schema is not forced into general-industry margin formulas.
tpex_securities,TPEX,securities,official_openapi_current_snapshot,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_bd,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Securities schema is normalized independently.
tpex_financial_holding,TPEX,financial_holding,official_openapi_current_snapshot,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_fh,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Financial-holding schema is normalized independently.
tpex_insurance,TPEX,insurance,official_openapi_current_snapshot,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_ins,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Insurance schema is normalized independently.
tpex_other,TPEX,other,official_openapi_current_snapshot,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap06_O_mim,current_snapshot_only,first_observed_at_not_company_filing_time,official_endpoint_reported_scope,cumulative_ytd,thousand_ntd,ntd_per_share,external_content_addressed_archive_required,True,Other-industry schema is preserved separately from general industry.
