data_family_id,ownership_mode,owner_model_or_family,registered_producers,producer_write_scope,consumer_access_mode,approved_consumer_models,data_contract_sha256,last_migration_id,sharing_decision_reference,formal_evidence_policy,new_consumer_policy,notes
stock_price_history,approved_shared_objective,official_price_data,scripts/build_stock_price_history.py,data/stock_price_history/*.csv,read_only_objective_feature_input,all_models,2472b6309274545286c3cc7b5efc12ed8396aec4c2e007a60102271db06bf18e,baseline_data_20260712,baseline_existing_contract_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
tdcc_stock_history,approved_shared_objective,tdcc_weekly,scripts/build_tdcc_stock_history.py,data/tdcc_stock_history/*.csv,read_only_objective_feature_input,all_models,94bde78d52d7b02efc83a03ad3c806221375fe05b6c66528589a6ef45e747103,baseline_data_20260712,baseline_existing_contract_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
market_index_history,approved_shared_objective,market_risk,scripts/update_market_index_history.py,data/market_index_history.csv,read_only_objective_feature_input,all_models,a51cc8e9ef1c349c33db0e149ffee5d323538f51f0c6892d7f9ea426468773c9,baseline_data_20260712,baseline_existing_contract_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
market_sentiment_context_history,approved_shared_objective,market_risk,scripts/build_market_sentiment_context.py,output/history/market_risk/market_sentiment_context_history.csv,read_only_objective_feature_input,all_models,5f47fefb6275472c8874ceed2a70f193e5d83e2a47be838525127b54cdd3ffaa,baseline_data_20260712,baseline_existing_contract_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
daily_model_signal_snapshots,approved_shared_replay_read_only,daily_production,scripts/update_daily_published_model_snapshots.py,output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_*.csv,read_only_replay_evidence,all_models,93adf9f60cdbd52b34ddf08d7294f5391af5895b9f80116c4a3259a0dcf308e9,baseline_data_20260712,baseline_existing_contract_20260712,replay_evidence_only,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
daily_all_candidates_snapshots,approved_shared_replay_read_only,daily_production,scripts/update_daily_published_model_snapshots.py,output/history/daily_model_snapshots/all_candidates_*.csv,read_only_replay_evidence,all_models,6f5b7c13d4f6b4478f4ec843066690627c3034abc46cdc5a61e0238ca25226d7,baseline_data_20260712,baseline_existing_contract_20260712,replay_evidence_only,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
daily_model_signal_background_feature_panel,approved_shared_objective,research_backtest,scripts/build_daily_model_signal_background_features.py,output/latest/research_backtest/daily_model_signal_background_feature_panel_latest.csv,read_only_objective_feature_input,all_models,3c405af56f0e056f542c7f47fab7d89db25242037b7d1de8bb5887f95eb82c27,baseline_data_20260712,baseline_existing_contract_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
daily_model_background_feature_catalog,approved_shared_objective,research_backtest,scripts/build_daily_model_signal_background_features.py,output/latest/research_backtest/daily_model_background_feature_catalog_latest.csv,read_only_objective_feature_input,all_models,b461ae373ec043e2bf50d97d1096b52cd46db387896f21f62c62d5b8bc7bfc48,baseline_data_20260712,baseline_existing_contract_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
monthly_revenue_history,approved_shared_objective,daily_model_maintenance,scripts/build_monthly_revenue_history.py;scripts/backfill_monthly_revenue_history_from_mops_html.py,data/monthly_revenue_history/monthly_revenue_history.csv,read_only_objective_feature_input,all_models,7c30055be9bf5d3dab0bf2318d74f0df2ad095db8dd4bcdaf06e1b91d981e77d,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Threshold anomaly fields are unresolved candidates and cannot remove primary metric rows without complete root-cause disposition.
monthly_revenue_coverage_backfill_audit,approved_shared_objective,daily_model_maintenance,scripts/build_monthly_revenue_coverage_backfill_audit.py,output/latest/research_backtest/monthly_revenue_coverage_backfill_audit_latest.csv,read_only_objective_feature_input,all_models,90c2b31e85905c68fa375c2f4583e5057ec3ed3053251f7558e215fb8518ffeb,baseline_data_20260712,baseline_existing_contract_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
