collision_id,field_name,model_family,canonical_artifact,canonical_producer,allowed_mirror_artifact,allowed_mirror_producer,dispatcher_consumer,collision_policy,source_precedence,value_parity_policy,contract_sha256,last_migration_id,approval_reference,required_validation_commands,notes
volume_v2_dispatcher__already_priced_in,already_priced_in,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,6feb3343be0dbd91b18671a65eb00a80a8cdd87c88275ae5c105e4634d0268d0,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__appear_count_10d,appear_count_10d,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,51ff1d0a2f1a0eb76297c32367fe158cc0e32cb2a87692fb5371c54f22e96ae6,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__appear_count_20d,appear_count_20d,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,6953b545b36d1275fd6623c8eaa4e49ebd1b31f358c2e935581fb7c4829cd241,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__appear_count_5d,appear_count_5d,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,be7c5b07631548602afb32c651d72b9168992fcec4f197b42cc991c315ebc9f2,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__breakout_close_near_high_flag,breakout_close_near_high_flag,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,d2151d5b3451bf0a14a77bd291fa07f59c08a7af1004c540740b444c82b54ce6,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__breakout_type,breakout_type,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,3e27c093f5c5fd5fd819c409acf46bf4972e839e3ef69bc28ee299129f37723f,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__category,category,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,d518e5044df1a1fc9ad812e084d893ac77b265b231dbdd31176f4373ea85a2ea,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__category_cn,category_cn,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,be52d2e877526b8981af0655c21a14e0cff5da1715f7ae106bcef1968abda112,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__close,close,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,da211504e0c61941dbbf66ca8cae8cba07bc0c4cb2ae62f757cc182569435bd5,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__consecutive_appear_days_any_category,consecutive_appear_days_any_category,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,7f7cf2f2768c5899ead89054e22548492ae6cf1f1b6ba885f9d4c3154ca7f23a,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
