signal_date,input_ref,receipt_id,mother_population_basis,path,missing,total_rows,universe_rows,excluded_code_rows,duplicate_keys,alias_payload_conflict,coverage_status,pit_supported_rows,selected_signals,unsupported_reason_counts,historical_closed_date_files_excluded,receipt_available_no_later_than,entry_cutoff,receipt_gap_audit
20260615,af71f09d64aabbbadf9481940590dce21cd8e263,A_pages_checkout,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260615.csv,False,6379,1958,4421,0,False,receipted_tree_partial_quality_coverage,1075,523,"{""insufficient_21_observations"": 8, ""raw_volume_lineage_unresolved"": 879, ""tdcc_four_batch_coverage_missing"": 1}",,2026-06-16T08:07:13.219088+08:00,2026-06-16T08:30:00+08:00,
20260616,1e26d264192d95fd902810403f7a6880b52ea63b,source_receipt_20260616,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260616.csv,False,6252,1959,4293,0,False,receipted_tree_partial_quality_coverage,1078,545,"{""insufficient_21_observations"": 8, ""raw_volume_lineage_unresolved"": 877, ""tdcc_four_batch_coverage_missing"": 1}",,2026-06-16T22:31:28.5758827Z,2026-06-17T08:30:00+08:00,
20260617,7d75eb3c4bc0daea09b968caa6ca9b860c00b0e6,source_receipt_20260617,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260617.csv,False,5943,1954,3989,0,False,receipted_tree_partial_quality_coverage,1075,517,"{""insufficient_21_observations"": 9, ""raw_volume_lineage_unresolved"": 874, ""tdcc_four_batch_coverage_missing"": 2}",,2026-06-17T20:32:06.2353597Z,2026-06-18T08:30:00+08:00,
20260618,3262680df463448610a790e9c82a1e627a4fc159,price_continuity_checkout_3262680,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260618.csv,False,2132,1955,177,0,False,receipted_tree_partial_quality_coverage,1076,496,"{""insufficient_21_observations"": 8, ""raw_volume_lineage_unresolved"": 874, ""tdcc_four_batch_coverage_missing"": 2}",,2026-06-18T21:11:15.745277+08:00,2026-06-22T08:30:00+08:00,
20260622,b4a8b8346e83cf96c265aa3cf6b46ac7e6ecbf0b,source_receipt_20260622,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260622.csv,False,2140,1963,177,0,False,receipted_tree_partial_quality_coverage,1079,477,"{""insufficient_21_observations"": 7, ""raw_volume_lineage_unresolved"": 880, ""tdcc_four_batch_coverage_missing"": 2}",,2026-06-22T14:49:17.8469016Z,2026-06-23T08:30:00+08:00,
20260623,7c25a3d9c4d213b87649c8243fdfc90dbc69dc91,source_receipt_20260623,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260623.csv,False,2128,1955,173,0,False,receipted_tree_partial_quality_coverage,1078,521,"{""insufficient_21_observations"": 6, ""raw_volume_lineage_unresolved"": 873, ""tdcc_four_batch_coverage_missing"": 2}",,2026-06-23T16:29:56.8690568Z,2026-06-24T08:30:00+08:00,
20260624,c26b6d30b9db14343c531cd3e97b06ce1a36d36a,source_receipt_20260624,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260624.csv,False,2127,1954,173,0,False,receipted_tree_partial_quality_coverage,1078,524,"{""insufficient_21_observations"": 6, ""raw_volume_lineage_unresolved"": 872, ""tdcc_four_batch_coverage_missing"": 2}",,2026-06-24T11:51:24.5623044Z,2026-06-25T08:30:00+08:00,
20260625,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260625.csv,False,2132,1954,178,0,False,receipt_not_established_from_tested_run,0,0,,,,,"Neither checked checkout nor pushed tree contains either June25 raw price alias. Source missing in these tested trees only, not proof no original publication ever existed. | Additional night run logged Saved raw June25 at 2026-06-25T11:34:20.6031093Z, then stock7631 June04 history missing error before push; download artifact expired. This proves processing occurred, not recoverable exact marketwide input bytes."
20260626,919cf972a1a34b8e73bf386dbe5c2d8d414caccc,source_receipt_20260626,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260626.csv,False,2130,1955,175,0,False,receipted_tree_partial_quality_coverage,1076,556,"{""insufficient_21_observations"": 6, ""raw_volume_lineage_unresolved"": 874, ""tdcc_four_batch_coverage_missing"": 3}",,2026-06-27T15:52:51.2751305Z,2026-06-29T08:30:00+08:00,
20260629,0dfb2d7ae37e3a1b5d685de95ae78dad66850252,source_receipt_20260629,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260629.csv,False,2129,1952,177,0,False,receipted_tree_partial_quality_coverage,1076,540,"{""insufficient_21_observations"": 4, ""raw_volume_lineage_unresolved"": 872, ""tdcc_four_batch_coverage_missing"": 4}",,2026-06-29T14:15:19.6399404Z,2026-06-30T08:30:00+08:00,
20260630,103c8702b991e4c13616c24d971c0bd611ddcf03,source_receipt_20260630,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260630.csv,False,2131,1956,175,0,False,receipted_tree_partial_quality_coverage,1079,539,"{""insufficient_21_observations"": 4, ""raw_volume_lineage_unresolved"": 873, ""tdcc_four_batch_coverage_missing"": 5}",,2026-06-30T20:45:39.0406057Z,2026-07-01T08:30:00+08:00,
20260701,cd03425cd2801a9967186fc6717b662a2eba9cc7,source_receipt_20260701,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260701.csv,False,2136,1957,179,0,False,receipted_tree_partial_quality_coverage,1079,527,"{""insufficient_21_observations"": 5, ""raw_volume_lineage_unresolved"": 873, ""tdcc_four_batch_coverage_missing"": 5}",,2026-07-01T14:50:57.5165068Z,2026-07-02T08:30:00+08:00,
